Hourly measurement data supplied by UK-air on 25/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Byres Road",,,
Latitude,,55.874167,,,,
Longitude,,-4.294722,,,,
Site Type,,Urban Traffic,,,,
Zone,,Central Scotland,,,,
Agglomeration,,Glasgow Urban Area,,,,
Local Authority,,"Glasgow",,,,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,50.65,V ugm-3 (FIDAS),43.628,V ugm-3 (Ref.eq)
2020-01-01,02:00:00,44.16,V ugm-3 (FIDAS),38.061,V ugm-3 (Ref.eq)
2020-01-01,03:00:00,50.783,V ugm-3 (FIDAS),43.628,V ugm-3 (Ref.eq)
2020-01-01,04:00:00,35.975,V ugm-3 (FIDAS),31.276,V ugm-3 (Ref.eq)
2020-01-01,05:00:00,34.275,V ugm-3 (FIDAS),29.526,V ugm-3 (Ref.eq)
2020-01-01,06:00:00,27.205,V ugm-3 (FIDAS),23.736,V ugm-3 (Ref.eq)
2020-01-01,07:00:00,23.433,V ugm-3 (FIDAS),20.422,V ugm-3 (Ref.eq)
2020-01-01,08:00:00,19.578,V ugm-3 (FIDAS),16.573,V ugm-3 (Ref.eq)
2020-01-01,09:00:00,17.3,V ugm-3 (FIDAS),13.993,V ugm-3 (Ref.eq)
2020-01-01,10:00:00,17.678,V ugm-3 (FIDAS),14.451,V ugm-3 (Ref.eq)
2020-01-01,11:00:00,20.128,V ugm-3 (FIDAS),16.502,V ugm-3 (Ref.eq)
2020-01-01,12:00:00,20.878,V ugm-3 (FIDAS),17.783,V ugm-3 (Ref.eq)
2020-01-01,13:00:00,23.87,V ugm-3 (FIDAS),19.948,V ugm-3 (Ref.eq)
2020-01-01,14:00:00,26.773,V ugm-3 (FIDAS),21.958,V ugm-3 (Ref.eq)
2020-01-01,15:00:00,26.415,V ugm-3 (FIDAS),20.868,V ugm-3 (Ref.eq)
2020-01-01,16:00:00,26.36,V ugm-3 (FIDAS),20.913,V ugm-3 (Ref.eq)
2020-01-01,17:00:00,30.25,V ugm-3 (FIDAS),24.618,V ugm-3 (Ref.eq)
2020-01-01,18:00:00,28.113,V ugm-3 (FIDAS),23.33,V ugm-3 (Ref.eq)
2020-01-01,19:00:00,24.458,V ugm-3 (FIDAS),19.724,V ugm-3 (Ref.eq)
2020-01-01,20:00:00,26.353,V ugm-3 (FIDAS),21.816,V ugm-3 (Ref.eq)
2020-01-01,21:00:00,28.223,V ugm-3 (FIDAS),23.363,V ugm-3 (Ref.eq)
2020-01-01,22:00:00,29.85,V ugm-3 (FIDAS),24.908,V ugm-3 (Ref.eq)
2020-01-01,23:00:00,29.855,V ugm-3 (FIDAS),24.863,V ugm-3 (Ref.eq)
2020-01-01,24:00:00,26.25,V ugm-3 (FIDAS),21.274,V ugm-3 (Ref.eq)
2020-01-02,01:00:00,14.938,V ugm-3 (FIDAS),11.097,V ugm-3 (Ref.eq)
2020-01-02,02:00:00,12.383,V ugm-3 (FIDAS),7.617,V ugm-3 (Ref.eq)
2020-01-02,03:00:00,14.11,V ugm-3 (FIDAS),7.739,V ugm-3 (Ref.eq)
2020-01-02,04:00:00,13.61,V ugm-3 (FIDAS),7.589,V ugm-3 (Ref.eq)
2020-01-02,05:00:00,14.88,V ugm-3 (FIDAS),8.093,V ugm-3 (Ref.eq)
2020-01-02,06:00:00,17.56,V ugm-3 (FIDAS),8.764,V ugm-3 (Ref.eq)
2020-01-02,07:00:00,18.29,V ugm-3 (FIDAS),8.768,V ugm-3 (Ref.eq)
2020-01-02,08:00:00,13.84,V ugm-3 (FIDAS),6.683,V ugm-3 (Ref.eq)
2020-01-02,09:00:00,10.414,V ugm-3 (FIDAS),4.83,V ugm-3 (Ref.eq)
2020-01-02,10:00:00,8.835,V ugm-3 (FIDAS),4.396,V ugm-3 (Ref.eq)
2020-01-02,11:00:00,13.088,V ugm-3 (FIDAS),6.177,V ugm-3 (Ref.eq)
2020-01-02,12:00:00,13.835,V ugm-3 (FIDAS),6.188,V ugm-3 (Ref.eq)
2020-01-02,13:00:00,9.007,V ugm-3 (FIDAS),4.464,V ugm-3 (Ref.eq)
2020-01-02,14:00:00,3.363,V ugm-3 (FIDAS),2.198,V ugm-3 (Ref.eq)
2020-01-02,15:00:00,3.927,V ugm-3 (FIDAS),2.354,V ugm-3 (Ref.eq)
2020-01-02,16:00:00,5.945,V ugm-3 (FIDAS),3.419,V ugm-3 (Ref.eq)
2020-01-02,17:00:00,5.155,V ugm-3 (FIDAS),3.354,V ugm-3 (Ref.eq)
2020-01-02,18:00:00,5.165,V ugm-3 (FIDAS),3.338,V ugm-3 (Ref.eq)
2020-01-02,19:00:00,5.659,V ugm-3 (FIDAS),3.707,V ugm-3 (Ref.eq)
2020-01-02,20:00:00,6.196,V ugm-3 (FIDAS),4.366,V ugm-3 (Ref.eq)
2020-01-02,21:00:00,6.34,V ugm-3 (FIDAS),4.363,V ugm-3 (Ref.eq)
2020-01-02,22:00:00,5.025,V ugm-3 (FIDAS),3.572,V ugm-3 (Ref.eq)
2020-01-02,23:00:00,3.049,V ugm-3 (FIDAS),1.843,V ugm-3 (Ref.eq)
2020-01-02,24:00:00,14.025,V ugm-3 (FIDAS),7.356,V ugm-3 (Ref.eq)
2020-01-03,01:00:00,19.798,V ugm-3 (FIDAS),9.558,V ugm-3 (Ref.eq)
2020-01-03,02:00:00,18.18,V ugm-3 (FIDAS),8.875,V ugm-3 (Ref.eq)
2020-01-03,03:00:00,19.148,V ugm-3 (FIDAS),8.823,V ugm-3 (Ref.eq)
2020-01-03,04:00:00,15.588,V ugm-3 (FIDAS),7.776,V ugm-3 (Ref.eq)
2020-01-03,05:00:00,15.323,V ugm-3 (FIDAS),7.432,V ugm-3 (Ref.eq)
2020-01-03,06:00:00,11.818,V ugm-3 (FIDAS),5.925,V ugm-3 (Ref.eq)
2020-01-03,07:00:00,12.875,V ugm-3 (FIDAS),6.455,V ugm-3 (Ref.eq)
2020-01-03,08:00:00,13.655,V ugm-3 (FIDAS),6.603,V ugm-3 (Ref.eq)
2020-01-03,09:00:00,13.995,V ugm-3 (FIDAS),6.647,V ugm-3 (Ref.eq)
2020-01-03,10:00:00,18.36,V ugm-3 (FIDAS),8.181,V ugm-3 (Ref.eq)
2020-01-03,11:00:00,13.63,V ugm-3 (FIDAS),6.586,V ugm-3 (Ref.eq)
2020-01-03,12:00:00,11.628,V ugm-3 (FIDAS),5.692,V ugm-3 (Ref.eq)
2020-01-03,13:00:00,11.225,V ugm-3 (FIDAS),5.006,V ugm-3 (Ref.eq)
2020-01-03,14:00:00,12.168,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq)
2020-01-03,15:00:00,14.8,V ugm-3 (FIDAS),6.995,V ugm-3 (Ref.eq)
2020-01-03,16:00:00,14.805,V ugm-3 (FIDAS),7.066,V ugm-3 (Ref.eq)
2020-01-03,17:00:00,13.413,V ugm-3 (FIDAS),6.83,V ugm-3 (Ref.eq)
2020-01-03,18:00:00,14.633,V ugm-3 (FIDAS),7.846,V ugm-3 (Ref.eq)
