Hourly measurement data supplied by UK-air on 25/03/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Burgher St.",,,
Latitude,,55.851071,,,,
Longitude,,-4.197140,,,,
Site Type,,Urban Traffic,,,,
Zone,,Central Scotland,,,,
Agglomeration,,Glasgow Urban Area,,,,
Local Authority,,"Glasgow",,,,
Date,Time,"Nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,57.49188,V ugm-3,33.298,V ugm-3 (TEOM FDMS)
2020-01-01,02:00:00,49.05268,V ugm-3,36.374,V ugm-3 (TEOM FDMS)
2020-01-01,03:00:00,47.90766,V ugm-3,28.149,V ugm-3 (TEOM FDMS)
2020-01-01,04:00:00,52.29981,V ugm-3,23.098,V ugm-3 (TEOM FDMS)
2020-01-01,05:00:00,49.02774,V ugm-3,18.524,V ugm-3 (TEOM FDMS)
2020-01-01,06:00:00,47.39105,V ugm-3,15.323,V ugm-3 (TEOM FDMS)
2020-01-01,07:00:00,45.75703,V ugm-3,16.374,V ugm-3 (TEOM FDMS)
2020-01-01,08:00:00,24.19161,V ugm-3,12.424,V ugm-3 (TEOM FDMS)
2020-01-01,09:00:00,15.95697,V ugm-3,10.298,V ugm-3 (TEOM FDMS)
2020-01-01,10:00:00,13.4605,V ugm-3,12.048,V ugm-3 (TEOM FDMS)
2020-01-01,11:00:00,14.01272,V ugm-3,14.849,V ugm-3 (TEOM FDMS)
2020-01-01,12:00:00,11.56251,V ugm-3,17.998,V ugm-3 (TEOM FDMS)
2020-01-01,13:00:00,9.38025,V ugm-3,17.298,V ugm-3 (TEOM FDMS)
2020-01-01,14:00:00,13.06685,V ugm-3,19.398,V ugm-3 (TEOM FDMS)
2020-01-01,15:00:00,16.12267,V ugm-3,22.549,V ugm-3 (TEOM FDMS)
2020-01-01,16:00:00,11.82351,V ugm-3,21.948,V ugm-3 (TEOM FDMS)
2020-01-01,17:00:00,13.50697,V ugm-3,21.449,V ugm-3 (TEOM FDMS)
2020-01-01,18:00:00,10.03456,V ugm-3,20.949,V ugm-3 (TEOM FDMS)
2020-01-01,19:00:00,14.09388,V ugm-3,19.673,V ugm-3 (TEOM FDMS)
2020-01-01,20:00:00,16.79983,V ugm-3,20.724,V ugm-3 (TEOM FDMS)
2020-01-01,21:00:00,16.2293,V ugm-3,21.624,V ugm-3 (TEOM FDMS)
2020-01-01,22:00:00,28.27368,V ugm-3,20.849,V ugm-3 (TEOM FDMS)
2020-01-01,23:00:00,36.94413,V ugm-3,21.273,V ugm-3 (TEOM FDMS)
2020-01-01,24:00:00,44.88986,V ugm-3,22.199,V ugm-3 (TEOM FDMS)
2020-01-02,01:00:00,13.85451,V ugm-3,19.449,V ugm-3 (TEOM FDMS)
2020-01-02,02:00:00,11.81462,V ugm-3,10.999,V ugm-3 (TEOM FDMS)
2020-01-02,03:00:00,5.94977,V ugm-3,12.474,V ugm-3 (TEOM FDMS)
2020-01-02,04:00:00,8.36438,V ugm-3,10.149,V ugm-3 (TEOM FDMS)
2020-01-02,05:00:00,9.69515,V ugm-3,11.448,V ugm-3 (TEOM FDMS)
2020-01-02,06:00:00,12.22956,V ugm-3,13.774,V ugm-3 (TEOM FDMS)
2020-01-02,07:00:00,7.05365,V ugm-3,14.273,V ugm-3 (TEOM FDMS)
2020-01-02,08:00:00,13.12069,V ugm-3,12.723,V ugm-3 (TEOM FDMS)
2020-01-02,09:00:00,14.10164,V ugm-3,6.123,V ugm-3 (TEOM FDMS)
2020-01-02,10:00:00,11.32362,V ugm-3,4.25,V ugm-3 (TEOM FDMS)
2020-01-02,11:00:00,9.6627,V ugm-3,8.823,V ugm-3 (TEOM FDMS)
2020-01-02,12:00:00,19.75192,V ugm-3,11.073,V ugm-3 (TEOM FDMS)
2020-01-02,13:00:00,14.42279,V ugm-3,7.473,V ugm-3 (TEOM FDMS)
2020-01-02,14:00:00,18.19736,V ugm-3,2.525,V ugm-3 (TEOM FDMS)
2020-01-02,15:00:00,14.24345,V ugm-3,0.65,V ugm-3 (TEOM FDMS)
2020-01-02,16:00:00,12.22726,V ugm-3,3.099,V ugm-3 (TEOM FDMS)
2020-01-02,17:00:00,12.34327,V ugm-3,5.373,V ugm-3 (TEOM FDMS)
2020-01-02,18:00:00,12.18457,V ugm-3,2.448,V ugm-3 (TEOM FDMS)
2020-01-02,19:00:00,8.64504,V ugm-3,4.999,V ugm-3 (TEOM FDMS)
