Hourly measurement data supplied by UK-air on 25/03/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Dumbarton Road",,,,,
Latitude,,55.870766,,,,,,
Longitude,,-4.318448,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Central Scotland,,,,,,
Agglomeration,,Glasgow Urban Area,,,,,,
Local Authority,,"Glasgow",,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,99.26521,V ugm-3,50.388,V ugm-3 (FIDAS),43.078,V ugm-3 (Ref.eq)
2020-01-01,02:00:00,93.10273,V ugm-3,36.82,V ugm-3 (FIDAS),31.708,V ugm-3 (Ref.eq)
2020-01-01,03:00:00,95.92118,V ugm-3,38.025,V ugm-3 (FIDAS),32.717,V ugm-3 (Ref.eq)
2020-01-01,04:00:00,81.81585,V ugm-3,41.28,V ugm-3 (FIDAS),35.885,V ugm-3 (Ref.eq)
2020-01-01,05:00:00,73.84751,V ugm-3,31.588,V ugm-3 (FIDAS),26.882,V ugm-3 (Ref.eq)
2020-01-01,06:00:00,61.64934,V ugm-3,23.218,V ugm-3 (FIDAS),20.38,V ugm-3 (Ref.eq)
2020-01-01,07:00:00,50.24991,V ugm-3,16.903,V ugm-3 (FIDAS),14.524,V ugm-3 (Ref.eq)
2020-01-01,08:00:00,51.1762,V ugm-3,15.625,V ugm-3 (FIDAS),12.896,V ugm-3 (Ref.eq)
2020-01-01,09:00:00,49.22577,V ugm-3,14.898,V ugm-3 (FIDAS),11.785,V ugm-3 (Ref.eq)
2020-01-01,10:00:00,36.15045,V ugm-3,13.888,V ugm-3 (FIDAS),11.34,V ugm-3 (Ref.eq)
2020-01-01,11:00:00,22.11194,V ugm-3,15.725,V ugm-3 (FIDAS),12.833,V ugm-3 (Ref.eq)
2020-01-01,12:00:00,15.03746,V ugm-3,16.8,V ugm-3 (FIDAS),14.038,V ugm-3 (Ref.eq)
2020-01-01,13:00:00,15.33058,V ugm-3,18.92,V ugm-3 (FIDAS),15.793,V ugm-3 (Ref.eq)
2020-01-01,14:00:00,17.28065,V ugm-3,20.56,V ugm-3 (FIDAS),16.719,V ugm-3 (Ref.eq)
2020-01-01,15:00:00,19.40642,V ugm-3,20.325,V ugm-3 (FIDAS),16.052,V ugm-3 (Ref.eq)
2020-01-01,16:00:00,21.6165,V ugm-3,24.305,V ugm-3 (FIDAS),19.201,V ugm-3 (Ref.eq)
2020-01-01,17:00:00,22.11386,V ugm-3,24.16,V ugm-3 (FIDAS),19.502,V ugm-3 (Ref.eq)
2020-01-01,18:00:00,16.54458,V ugm-3,23.823,V ugm-3 (FIDAS),19.521,V ugm-3 (Ref.eq)
2020-01-01,19:00:00,12.41048,V ugm-3,19.438,V ugm-3 (FIDAS),15.976,V ugm-3 (Ref.eq)
2020-01-01,20:00:00,12.01515,V ugm-3,21.305,V ugm-3 (FIDAS),17.524,V ugm-3 (Ref.eq)
2020-01-01,21:00:00,16.10493,V ugm-3,22.77,V ugm-3 (FIDAS),18.594,V ugm-3 (Ref.eq)
2020-01-01,22:00:00,23.75384,V ugm-3,22.88,V ugm-3 (FIDAS),19.076,V ugm-3 (Ref.eq)
2020-01-01,23:00:00,27.73781,V ugm-3,23.04,V ugm-3 (FIDAS),18.675,V ugm-3 (Ref.eq)
2020-01-01,24:00:00,15.44477,V ugm-3,20.288,V ugm-3 (FIDAS),16.418,V ugm-3 (Ref.eq)
2020-01-02,01:00:00,7.55389,V ugm-3,12.674,V ugm-3 (FIDAS),9.302,V ugm-3 (Ref.eq)
2020-01-02,02:00:00,3.25089,V ugm-3,10.858,V ugm-3 (FIDAS),6.661,V ugm-3 (Ref.eq)
2020-01-02,03:00:00,2.24397,V ugm-3,12.015,V ugm-3 (FIDAS),6.6,V ugm-3 (Ref.eq)
2020-01-02,04:00:00,0.99942,V ugm-3,11.725,V ugm-3 (FIDAS),6.522,V ugm-3 (Ref.eq)
2020-01-02,05:00:00,1.5385,V ugm-3,13.478,V ugm-3 (FIDAS),7.113,V ugm-3 (Ref.eq)
2020-01-02,06:00:00,4.36773,V ugm-3,15.275,V ugm-3 (FIDAS),7.756,V ugm-3 (Ref.eq)
2020-01-02,07:00:00,6.92444,V ugm-3,15.508,V ugm-3 (FIDAS),7.768,V ugm-3 (Ref.eq)
2020-01-02,08:00:00,7.17791,V ugm-3,11.937,V ugm-3 (FIDAS),5.885,V ugm-3 (Ref.eq)
2020-01-02,09:00:00,8.77988,V ugm-3,9.402,V ugm-3 (FIDAS),4.573,V ugm-3 (Ref.eq)
2020-01-02,10:00:00,10.58617,V ugm-3,8.746,V ugm-3 (FIDAS),4.189,V ugm-3 (Ref.eq)
2020-01-02,11:00:00,10.53187,V ugm-3,11.668,V ugm-3 (FIDAS),5.404,V ugm-3 (Ref.eq)
2020-01-02,12:00:00,10.90728,V ugm-3,11.455,V ugm-3 (FIDAS),5.136,V ugm-3 (Ref.eq)
2020-01-02,13:00:00,9.96575,V ugm-3,7.376,V ugm-3 (FIDAS),3.465,V ugm-3 (Ref.eq)
2020-01-02,14:00:00,11.17298,V ugm-3,3.211,V ugm-3 (FIDAS),1.554,V ugm-3 (Ref.eq)
2020-01-02,15:00:00,9.74197,V ugm-3,3.138,V ugm-3 (FIDAS),1.774,V ugm-3 (Ref.eq)
2020-01-02,16:00:00,9.80202,V ugm-3,4.975,V ugm-3 (FIDAS),2.875,V ugm-3 (Ref.eq)
2020-01-02,17:00:00,10.96999,V ugm-3,4.687,V ugm-3 (FIDAS),2.646,V ugm-3 (Ref.eq)
2020-01-02,18:00:00,10.61061,V ugm-3,4.088,V ugm-3 (FIDAS),2.661,V ugm-3 (Ref.eq)
2020-01-02,19:00:00,10.55126,V ugm-3,4.885,V ugm-3 (FIDAS),3.25,V ugm-3 (Ref.eq)
2020-01-02,20:00:00,10.22057,V ugm-3,5.218,V ugm-3 (FIDAS),3.611,V ugm-3 (Ref.eq)
2020-01-02,21:00:00,7.59056,V ugm-3,5.007,V ugm-3 (FIDAS),3.468,V ugm-3 (Ref.eq)
2020-01-02,22:00:00,7.3671,V ugm-3,4.179,V ugm-3 (FIDAS),2.847,V ugm-3 (Ref.eq)
2020-01-02,23:00:00,15.23761,V ugm-3,3.513,V ugm-3 (FIDAS),1.731,V ugm-3 (Ref.eq)
2020-01-02,24:00:00,23.83647,V ugm-3,12.892,V ugm-3 (FIDAS),7.177,V ugm-3 (Ref.eq)
2020-01-03,01:00:00,15.55941,V ugm-3,16.09,V ugm-3 (FIDAS),8.559,V ugm-3 (Ref.eq)
2020-01-03,02:00:00,13.80396,V ugm-3,15.573,V ugm-3 (FIDAS),8.258,V ugm-3 (Ref.eq)
2020-01-03,03:00:00,13.69672,V ugm-3,14.585,V ugm-3 (FIDAS),7.51,V ugm-3 (Ref.eq)
2020-01-03,04:00:00,13.0343,V ugm-3,13.203,V ugm-3 (FIDAS),6.605,V ugm-3 (Ref.eq)
2020-01-03,05:00:00,9.59109,V ugm-3,12.42,V ugm-3 (FIDAS),6.249,V ugm-3 (Ref.eq)
2020-01-03,06:00:00,24.2595,V ugm-3,10.751,V ugm-3 (FIDAS),5.359,V ugm-3 (Ref.eq)
2020-01-03,07:00:00,23.58034,V ugm-3,10.859,V ugm-3 (FIDAS),5.62,V ugm-3 (Ref.eq)
2020-01-03,08:00:00,71.40943,V ugm-3,12.02,V ugm-3 (FIDAS),6.305,V ugm-3 (Ref.eq)
2020-01-03,09:00:00,92.61431,V ugm-3,16.198,V ugm-3 (FIDAS),7.321,V ugm-3 (Ref.eq)
2020-01-03,10:00:00,74.66197,V ugm-3,17.673,V ugm-3 (FIDAS),7.676,V ugm-3 (Ref.eq)
2020-01-03,11:00:00,67.12992,V ugm-3,17.178,V ugm-3 (FIDAS),6.891,V ugm-3 (Ref.eq)
2020-01-03,12:00:00,57.04634,V ugm-3,11.455,V ugm-3 (FIDAS),5.07,V ugm-3 (Ref.eq)
