Hourly measurement data supplied by UK-air on 25/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,,,,
Latitude,,55.860936,,,,,,
Longitude,,-4.238214,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Central Scotland,,,,,,
Agglomeration,,Glasgow Urban Area,,,,,,
Local Authority,,"Glasgow",,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,69.24236,V ugm-3,19.575,V ugm-3 (FIDAS),16.156,V ugm-3 (Ref.eq)
2020-01-01,02:00:00,62.41148,V ugm-3,26.475,V ugm-3 (FIDAS),22.052,V ugm-3 (Ref.eq)
2020-01-01,03:00:00,63.00646,V ugm-3,22.05,V ugm-3 (FIDAS),17.925,V ugm-3 (Ref.eq)
2020-01-01,04:00:00,65.06798,V ugm-3,16.8,V ugm-3 (FIDAS),14.033,V ugm-3 (Ref.eq)
2020-01-01,05:00:00,64.14318,V ugm-3,16.375,V ugm-3 (FIDAS),13.326,V ugm-3 (Ref.eq)
2020-01-01,06:00:00,50.94988,V ugm-3,15.175,V ugm-3 (FIDAS),12.594,V ugm-3 (Ref.eq)
2020-01-01,07:00:00,51.27046,V ugm-3,14.675,V ugm-3 (FIDAS),12.5,V ugm-3 (Ref.eq)
2020-01-01,08:00:00,53.83027,V ugm-3,14.775,V ugm-3 (FIDAS),12.123,V ugm-3 (Ref.eq)
2020-01-01,09:00:00,25.86672,V ugm-3,12.175,V ugm-3 (FIDAS),9.458,V ugm-3 (Ref.eq)
2020-01-01,10:00:00,23.0176,V ugm-3,13.5,V ugm-3 (FIDAS),10.59,V ugm-3 (Ref.eq)
2020-01-01,11:00:00,11.56407,V ugm-3,15.95,V ugm-3 (FIDAS),12.524,V ugm-3 (Ref.eq)
2020-01-01,12:00:00,9.98838,V ugm-3,16.925,V ugm-3 (FIDAS),13.797,V ugm-3 (Ref.eq)
2020-01-01,13:00:00,10.57886,V ugm-3,18.025,V ugm-3 (FIDAS),15.094,V ugm-3 (Ref.eq)
2020-01-01,14:00:00,14.9052,V ugm-3,22.375,V ugm-3 (FIDAS),17.335,V ugm-3 (Ref.eq)
2020-01-01,15:00:00,18.43089,V ugm-3,22.4,V ugm-3 (FIDAS),17.335,V ugm-3 (Ref.eq)
2020-01-01,16:00:00,20.0917,V ugm-3,23,V ugm-3 (FIDAS),17.783,V ugm-3 (Ref.eq)
2020-01-01,17:00:00,14.40171,V ugm-3,22.075,V ugm-3 (FIDAS),18.137,V ugm-3 (Ref.eq)
2020-01-01,18:00:00,13.64883,V ugm-3,21.775,V ugm-3 (FIDAS),17.406,V ugm-3 (Ref.eq)
2020-01-01,19:00:00,11.2728,V ugm-3,18.3,V ugm-3 (FIDAS),14.67,V ugm-3 (Ref.eq)
2020-01-01,20:00:00,13.75376,V ugm-3,21.05,V ugm-3 (FIDAS),17.359,V ugm-3 (Ref.eq)
2020-01-01,21:00:00,16.93043,V ugm-3,23.45,V ugm-3 (FIDAS),18.939,V ugm-3 (Ref.eq)
2020-01-01,22:00:00,23.09449,V ugm-3,23.525,V ugm-3 (FIDAS),19.033,V ugm-3 (Ref.eq)
2020-01-01,23:00:00,16.82226,V ugm-3,22.625,V ugm-3 (FIDAS),18.137,V ugm-3 (Ref.eq)
2020-01-01,24:00:00,18.46659,V ugm-3,21.575,V ugm-3 (FIDAS),17.028,V ugm-3 (Ref.eq)
2020-01-02,01:00:00,17.66877,V ugm-3,15.725,V ugm-3 (FIDAS),11.132,V ugm-3 (Ref.eq)
2020-01-02,02:00:00,1.79095,V ugm-3,10.55,V ugm-3 (FIDAS),6.156,V ugm-3 (Ref.eq)
2020-01-02,03:00:00,0.9462,V ugm-3,11.85,V ugm-3 (FIDAS),6.085,V ugm-3 (Ref.eq)
2020-01-02,04:00:00,0.79633,V ugm-3,12.1,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq)
2020-01-02,05:00:00,1.19488,V ugm-3,14.525,V ugm-3 (FIDAS),7.005,V ugm-3 (Ref.eq)
2020-01-02,06:00:00,3.48197,V ugm-3,16,V ugm-3 (FIDAS),7.382,V ugm-3 (Ref.eq)
2020-01-02,07:00:00,4.67325,V ugm-3,16.85,V ugm-3 (FIDAS),7.571,V ugm-3 (Ref.eq)
2020-01-02,08:00:00,5.60838,V ugm-3,12.625,V ugm-3 (FIDAS),5.778,V ugm-3 (Ref.eq)
2020-01-02,09:00:00,5.758,V ugm-3,7.8,V ugm-3 (FIDAS),3.75,V ugm-3 (Ref.eq)
2020-01-02,10:00:00,5.81396,V ugm-3,8.55,V ugm-3 (FIDAS),3.75,V ugm-3 (Ref.eq)
2020-01-02,11:00:00,6.5551,V ugm-3,13.075,V ugm-3 (FIDAS),5.33,V ugm-3 (Ref.eq)
2020-01-02,12:00:00,8.78288,V ugm-3,11.45,V ugm-3 (FIDAS),4.953,V ugm-3 (Ref.eq)
2020-01-02,13:00:00,11.36998,V ugm-3,6.65,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq)
2020-01-02,14:00:00,10.07399,V ugm-3,2.525,V ugm-3 (FIDAS),1.392,V ugm-3 (Ref.eq)
