Hourly measurement data supplied by UK-air on 25/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Townhead",,,,,
Latitude,,55.865782,,,,,,
Longitude,,-4.243631,,,,,,
Site Type,,Urban Background,,,,,,
Zone,,Central Scotland,,,,,,
Agglomeration,,Glasgow Urban Area,,,,,,
Local Authority,,"Glasgow",,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,65.02707,V ugm-3,19.875,V ugm-3 (FIDAS),16.462,V ugm-3 (Ref.eq)
2020-01-01,02:00:00,56.86728,V ugm-3,26.325,V ugm-3 (FIDAS),22.123,V ugm-3 (Ref.eq)
2020-01-01,03:00:00,54.79366,V ugm-3,22.675,V ugm-3 (FIDAS),19.057,V ugm-3 (Ref.eq)
2020-01-01,04:00:00,54.3518,V ugm-3,20.55,V ugm-3 (FIDAS),17.123,V ugm-3 (Ref.eq)
2020-01-01,05:00:00,52.39739,V ugm-3,19.725,V ugm-3 (FIDAS),16.557,V ugm-3 (Ref.eq)
2020-01-01,06:00:00,49.67071,V ugm-3,19.225,V ugm-3 (FIDAS),16.25,V ugm-3 (Ref.eq)
2020-01-01,07:00:00,48.14497,V ugm-3,19.075,V ugm-3 (FIDAS),15.566,V ugm-3 (Ref.eq)
2020-01-01,08:00:00,48.43732,V ugm-3,16.525,V ugm-3 (FIDAS),13.326,V ugm-3 (Ref.eq)
2020-01-01,09:00:00,21.0447,V ugm-3,13.175,V ugm-3 (FIDAS),10.189,V ugm-3 (Ref.eq)
2020-01-01,10:00:00,16.55013,V ugm-3,15.2,V ugm-3 (FIDAS),12.005,V ugm-3 (Ref.eq)
2020-01-01,11:00:00,10.16585,V ugm-3,16.95,V ugm-3 (FIDAS),13.821,V ugm-3 (Ref.eq)
2020-01-01,12:00:00,9.34899,V ugm-3,18.1,V ugm-3 (FIDAS),15.189,V ugm-3 (Ref.eq)
2020-01-01,13:00:00,10.62611,V ugm-3,19.45,V ugm-3 (FIDAS),16.51,V ugm-3 (Ref.eq)
2020-01-01,14:00:00,13.33311,V ugm-3,24,V ugm-3 (FIDAS),19.127,V ugm-3 (Ref.eq)
2020-01-01,15:00:00,15.01768,V ugm-3,23.2,V ugm-3 (FIDAS),18.797,V ugm-3 (Ref.eq)
2020-01-01,16:00:00,15.22195,V ugm-3,24.175,V ugm-3 (FIDAS),19.505,V ugm-3 (Ref.eq)
2020-01-01,17:00:00,15.73435,V ugm-3,23.7,V ugm-3 (FIDAS),20.142,V ugm-3 (Ref.eq)
2020-01-01,18:00:00,14.04762,V ugm-3,22.85,V ugm-3 (FIDAS),19.316,V ugm-3 (Ref.eq)
2020-01-01,19:00:00,16.9604,V ugm-3,19.675,V ugm-3 (FIDAS),15.778,V ugm-3 (Ref.eq)
2020-01-01,20:00:00,16.24546,V ugm-3,22,V ugm-3 (FIDAS),18.443,V ugm-3 (Ref.eq)
2020-01-01,21:00:00,17.72576,V ugm-3,24.2,V ugm-3 (FIDAS),20.165,V ugm-3 (Ref.eq)
2020-01-01,22:00:00,15.78239,V ugm-3,25.1,V ugm-3 (FIDAS),20.684,V ugm-3 (Ref.eq)
2020-01-01,23:00:00,18.74667,V ugm-3,24.45,V ugm-3 (FIDAS),20.118,V ugm-3 (Ref.eq)
2020-01-01,24:00:00,20.89063,V ugm-3,22.95,V ugm-3 (FIDAS),18.349,V ugm-3 (Ref.eq)
2020-01-02,01:00:00,17.78022,V ugm-3,16.175,V ugm-3 (FIDAS),11.934,V ugm-3 (Ref.eq)
2020-01-02,02:00:00,11.58233,V ugm-3,11.625,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq)
2020-01-02,03:00:00,11.19119,V ugm-3,12.275,V ugm-3 (FIDAS),6.745,V ugm-3 (Ref.eq)
2020-01-02,04:00:00,10.16908,V ugm-3,11.95,V ugm-3 (FIDAS),6.58,V ugm-3 (Ref.eq)
2020-01-02,05:00:00,8.99542,V ugm-3,13.85,V ugm-3 (FIDAS),7.429,V ugm-3 (Ref.eq)
2020-01-02,06:00:00,9.30094,V ugm-3,15.425,V ugm-3 (FIDAS),7.854,V ugm-3 (Ref.eq)
2020-01-02,07:00:00,11.75575,V ugm-3,16.5,V ugm-3 (FIDAS),7.948,V ugm-3 (Ref.eq)
2020-01-02,08:00:00,14.46258,V ugm-3,12.1,V ugm-3 (FIDAS),6.109,V ugm-3 (Ref.eq)
2020-01-02,09:00:00,13.28698,V ugm-3,8.375,V ugm-3 (FIDAS),4.08,V ugm-3 (Ref.eq)
2020-01-02,10:00:00,11.44878,V ugm-3,8.45,V ugm-3 (FIDAS),4.033,V ugm-3 (Ref.eq)
2020-01-02,11:00:00,18.95944,V ugm-3,13.375,V ugm-3 (FIDAS),5.731,V ugm-3 (Ref.eq)
2020-01-02,12:00:00,16.61042,V ugm-3,10.95,V ugm-3 (FIDAS),5.165,V ugm-3 (Ref.eq)
2020-01-02,13:00:00,16.09767,V ugm-3,6.5,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq)
2020-01-02,14:00:00,18.55152,V ugm-3,2.8,V ugm-3 (FIDAS),1.486,V ugm-3 (Ref.eq)
2020-01-02,15:00:00,17.83638,V ugm-3,2.5,V ugm-3 (FIDAS),1.533,V ugm-3 (Ref.eq)
2020-01-02,16:00:00,12.46992,V ugm-3,4.4,V ugm-3 (FIDAS),2.618,V ugm-3 (Ref.eq)
2020-01-02,17:00:00,16.04538,V ugm-3,4.375,V ugm-3 (FIDAS),2.736,V ugm-3 (Ref.eq)
2020-01-02,18:00:00,15.12374,V ugm-3,4.375,V ugm-3 (FIDAS),2.594,V ugm-3 (Ref.eq)
2020-01-02,19:00:00,12.11138,V ugm-3,4.925,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq)
2020-01-02,20:00:00,9.24937,V ugm-3,4.725,V ugm-3 (FIDAS),3.278,V ugm-3 (Ref.eq)
2020-01-02,21:00:00,8.63518,V ugm-3,4.475,V ugm-3 (FIDAS),3.255,V ugm-3 (Ref.eq)
2020-01-02,22:00:00,9.09734,V ugm-3,4.65,V ugm-3 (FIDAS),3.042,V ugm-3 (Ref.eq)
2020-01-02,23:00:00,7.56247,V ugm-3,2.575,V ugm-3 (FIDAS),1.321,V ugm-3 (Ref.eq)
2020-01-02,24:00:00,7.56417,V ugm-3,11.875,V ugm-3 (FIDAS),6.179,V ugm-3 (Ref.eq)
2020-01-03,01:00:00,8.17851,V ugm-3,19.7,V ugm-3 (FIDAS),9.34,V ugm-3 (Ref.eq)
2020-01-03,02:00:00,9.96685,V ugm-3,17.7,V ugm-3 (FIDAS),8.42,V ugm-3 (Ref.eq)
2020-01-03,03:00:00,7.56215,V ugm-3,18.275,V ugm-3 (FIDAS),8.491,V ugm-3 (Ref.eq)
2020-01-03,04:00:00,9.04446,V ugm-3,14.975,V ugm-3 (FIDAS),7.476,V ugm-3 (Ref.eq)
2020-01-03,05:00:00,12.72522,V ugm-3,14.425,V ugm-3 (FIDAS),7.241,V ugm-3 (Ref.eq)
2020-01-03,06:00:00,11.24344,V ugm-3,11.25,V ugm-3 (FIDAS),5.873,V ugm-3 (Ref.eq)
2020-01-03,07:00:00,23.20035,V ugm-3,12.55,V ugm-3 (FIDAS),6.156,V ugm-3 (Ref.eq)
2020-01-03,08:00:00,31.84086,V ugm-3,12.725,V ugm-3 (FIDAS),6.274,V ugm-3 (Ref.eq)
2020-01-03,09:00:00,47.75353,V ugm-3,12.925,V ugm-3 (FIDAS),6.439,V ugm-3 (Ref.eq)
2020-01-03,10:00:00,56.47536,V ugm-3,15.55,V ugm-3 (FIDAS),7.359,V ugm-3 (Ref.eq)
2020-01-03,11:00:00,35.95606,V ugm-3,11.175,V ugm-3 (FIDAS),5.802,V ugm-3 (Ref.eq)
2020-01-03,12:00:00,33.95825,V ugm-3,10.65,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq)
2020-01-03,13:00:00,27.25964,V ugm-3,8.925,V ugm-3 (FIDAS),4.693,V ugm-3 (Ref.eq)
2020-01-03,14:00:00,21.83789,V ugm-3,11.5,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq)
2020-01-03,15:00:00,26.02853,V ugm-3,12.825,V ugm-3 (FIDAS),6.25,V ugm-3 (Ref.eq)
2020-01-03,16:00:00,27.76605,V ugm-3,11.075,V ugm-3 (FIDAS),5.991,V ugm-3 (Ref.eq)
2020-01-03,17:00:00,37.22409,V ugm-3,11.1,V ugm-3 (FIDAS),6.109,V ugm-3 (Ref.eq)
2020-01-03,18:00:00,26.12644,V ugm-3,11.55,V ugm-3 (FIDAS),6.085,V ugm-3 (Ref.eq)
2020-01-03,19:00:00,17.22912,V ugm-3,16.075,V ugm-3 (FIDAS),7.972,V ugm-3 (Ref.eq)
2020-01-03,20:00:00,14.00822,V ugm-3,8.95,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
2020-01-03,21:00:00,18.24782,V ugm-3,11.425,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq)
2020-01-03,22:00:00,14.82308,V ugm-3,8.95,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
2020-01-03,23:00:00,12.47188,V ugm-3,10.425,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq)
2020-01-03,24:00:00,12.62516,V ugm-3,11.525,V ugm-3 (FIDAS),5.708,V ugm-3 (Ref.eq)
