Hourly measurement data supplied by UK-air on 25/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Kerbside",
Latitude,,55.858940,,
Longitude,,-4.259122,,
Site Type,,Urban Traffic,,
Zone,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,
Date,Time,"Nitrogen dioxide",Status
2020-01-01,01:00:00,No data,V ugm-3
2020-01-01,02:00:00,76.68232,V ugm-3
2020-01-01,03:00:00,75.12714,V ugm-3
2020-01-01,04:00:00,89.75443,V ugm-3
2020-01-01,05:00:00,96.04185,V ugm-3
2020-01-01,06:00:00,86.95813,V ugm-3
2020-01-01,07:00:00,72.61488,V ugm-3
2020-01-01,08:00:00,61.28035,V ugm-3
2020-01-01,09:00:00,28.06574,V ugm-3
2020-01-01,10:00:00,26.39759,V ugm-3
2020-01-01,11:00:00,18.1193,V ugm-3
2020-01-01,12:00:00,14.67061,V ugm-3
2020-01-01,13:00:00,16.25239,V ugm-3
2020-01-01,14:00:00,19.80511,V ugm-3
2020-01-01,15:00:00,23.69301,V ugm-3
2020-01-01,16:00:00,24.19225,V ugm-3
2020-01-01,17:00:00,23.31483,V ugm-3
2020-01-01,18:00:00,19.63663,V ugm-3
2020-01-01,19:00:00,18.85364,V ugm-3
2020-01-01,20:00:00,19.834,V ugm-3
2020-01-01,21:00:00,24.46437,V ugm-3
2020-01-01,22:00:00,22.7231,V ugm-3
2020-01-01,23:00:00,42.61388,V ugm-3
2020-01-01,24:00:00,33.84882,V ugm-3
2020-01-02,01:00:00,32.46857,V ugm-3
2020-01-02,02:00:00,9.72032,V ugm-3
2020-01-02,03:00:00,6.55171,V ugm-3
2020-01-02,04:00:00,6.84768,V ugm-3
2020-01-02,05:00:00,7.13829,V ugm-3
2020-01-02,06:00:00,6.10207,V ugm-3
2020-01-02,07:00:00,16.86951,V ugm-3
2020-01-02,08:00:00,17.69777,V ugm-3
2020-01-02,09:00:00,23.25662,V ugm-3
2020-01-02,10:00:00,20.0263,V ugm-3
2020-01-02,11:00:00,39.319,V ugm-3
2020-01-02,12:00:00,21.80406,V ugm-3
2020-01-02,13:00:00,30.99356,V ugm-3
2020-01-02,14:00:00,35.5937,V ugm-3
2020-01-02,15:00:00,30.08592,V ugm-3
2020-01-02,16:00:00,23.95142,V ugm-3
2020-01-02,17:00:00,32.74896,V ugm-3
2020-01-02,18:00:00,41.64341,V ugm-3
2020-01-02,19:00:00,25.19432,V ugm-3
2020-01-02,20:00:00,16.17006,V ugm-3
2020-01-02,21:00:00,18.88508,V ugm-3
2020-01-02,22:00:00,20.99488,V ugm-3
2020-01-02,23:00:00,39.90387,V ugm-3
2020-01-02,24:00:00,40.01739,V ugm-3
2020-01-03,01:00:00,22.3381,V ugm-3
2020-01-03,02:00:00,15.98266,V ugm-3
2020-01-03,03:00:00,14.85407,V ugm-3
2020-01-03,04:00:00,14.55894,V ugm-3
2020-01-03,05:00:00,11.64974,V ugm-3
2020-01-03,06:00:00,19.48663,V ugm-3
2020-01-03,07:00:00,40.55299,V ugm-3
2020-01-03,08:00:00,55.45831,V ugm-3
2020-01-03,09:00:00,68.1576,V ugm-3
2020-01-03,10:00:00,69.38477,V ugm-3
2020-01-03,11:00:00,57.14859,V ugm-3
2020-01-03,12:00:00,58.42828,V ugm-3
2020-01-03,13:00:00,52.54715,V ugm-3
2020-01-03,14:00:00,53.79395,V ugm-3
2020-01-03,15:00:00,48.5021,V ugm-3
2020-01-03,16:00:00,56.56667,V ugm-3
2020-01-03,17:00:00,53.97883,V ugm-3
2020-01-03,18:00:00,82.44959,V ugm-3
2020-01-03,19:00:00,47.20975,V ugm-3
2020-01-03,20:00:00,45.47146,V ugm-3
2020-01-03,21:00:00,42.9813,V ugm-3
2020-01-03,22:00:00,36.73091,V ugm-3
