Hourly measurement data supplied by UK-air on 25/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Great Western Road",
Latitude,,55.872038,,
Longitude,,-4.270936,,
Site Type,,Urban Traffic,,
Zone,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,
Date,Time,"Nitrogen dioxide",Status
2020-01-01,01:00:00,73.83815,V ugm-3
2020-01-01,02:00:00,77.05648,V ugm-3
2020-01-01,03:00:00,66.48559,V ugm-3
2020-01-01,04:00:00,52.74237,V ugm-3
2020-01-01,05:00:00,49.66139,V ugm-3
2020-01-01,06:00:00,48.13599,V ugm-3
2020-01-01,07:00:00,46.57407,V ugm-3
2020-01-01,08:00:00,52.21151,V ugm-3
2020-01-01,09:00:00,27.50883,V ugm-3
2020-01-01,10:00:00,13.44579,V ugm-3
2020-01-01,11:00:00,8.66817,V ugm-3
2020-01-01,12:00:00,8.03761,V ugm-3
2020-01-01,13:00:00,9.53738,V ugm-3
2020-01-01,14:00:00,10.73019,V ugm-3
2020-01-01,15:00:00,12.49465,V ugm-3
2020-01-01,16:00:00,16.33293,V ugm-3
2020-01-01,17:00:00,17.16167,V ugm-3
2020-01-01,18:00:00,11.62544,V ugm-3
2020-01-01,19:00:00,11.82665,V ugm-3
2020-01-01,20:00:00,12.39465,V ugm-3
2020-01-01,21:00:00,14.73679,V ugm-3
2020-01-01,22:00:00,20.73951,V ugm-3
2020-01-01,23:00:00,36.34056,V ugm-3
2020-01-01,24:00:00,29.94632,V ugm-3
2020-01-02,01:00:00,13.64904,V ugm-3
2020-01-02,02:00:00,3.94632,V ugm-3
2020-01-02,03:00:00,3.63225,V ugm-3
2020-01-02,04:00:00,2.28579,V ugm-3
2020-01-02,05:00:00,1.86856,V ugm-3
2020-01-02,06:00:00,3.32019,V ugm-3
2020-01-02,07:00:00,3.94516,V ugm-3
2020-01-02,08:00:00,6.64443,V ugm-3
2020-01-02,09:00:00,6.74642,V ugm-3
2020-01-02,10:00:00,6.80132,V ugm-3
2020-01-02,11:00:00,11.05767,V ugm-3
2020-01-02,12:00:00,11.57718,V ugm-3
2020-01-02,13:00:00,11.8352,V ugm-3
2020-01-02,14:00:00,12.55525,V ugm-3
2020-01-02,15:00:00,12.30501,V ugm-3
2020-01-02,16:00:00,10.27725,V ugm-3
2020-01-02,17:00:00,11.4125,V ugm-3
2020-01-02,18:00:00,11.31743,V ugm-3
2020-01-02,19:00:00,9.34282,V ugm-3
2020-01-02,20:00:00,9.76207,V ugm-3
2020-01-02,21:00:00,7.99752,V ugm-3
2020-01-02,22:00:00,7.16538,V ugm-3
2020-01-02,23:00:00,8.70371,V ugm-3
2020-01-02,24:00:00,8.50866,V ugm-3
2020-01-03,01:00:00,9.91006,V ugm-3
2020-01-03,02:00:00,9.98824,V ugm-3
2020-01-03,03:00:00,8.00812,V ugm-3
2020-01-03,04:00:00,7.54131,V ugm-3
2020-01-03,05:00:00,11.49442,V ugm-3
2020-01-03,06:00:00,8.94613,V ugm-3
2020-01-03,07:00:00,17.03778,V ugm-3
2020-01-03,08:00:00,27.51443,V ugm-3
2020-01-03,09:00:00,35.55328,V ugm-3
2020-01-03,10:00:00,39.10637,V ugm-3
2020-01-03,11:00:00,35.70881,V ugm-3
2020-01-03,12:00:00,31.34094,V ugm-3
2020-01-03,13:00:00,25.94633,V ugm-3
2020-01-03,14:00:00,32.39128,V ugm-3
2020-01-03,15:00:00,29.41946,V ugm-3
2020-01-03,16:00:00,32.64652,V ugm-3
2020-01-03,17:00:00,28.13877,V ugm-3
2020-01-03,18:00:00,31.93023,V ugm-3
2020-01-03,19:00:00,16.97476,V ugm-3
2020-01-03,20:00:00,16.26086,V ugm-3
2020-01-03,21:00:00,14.64619,V ugm-3
2020-01-03,22:00:00,19.54088,V ugm-3
2020-01-03,23:00:00,15.7335,V ugm-3
2020-01-03,24:00:00,13.35672,V ugm-3
2020-01-04,01:00:00,7.4239,V ugm-3
2020-01-04,02:00:00,3.8816,V ugm-3
2020-01-04,03:00:00,2.96564,V ugm-3
2020-01-04,04:00:00,2.91068,V ugm-3
2020-01-04,05:00:00,1.82168,V ugm-3
2020-01-04,06:00:00,2.44237,V ugm-3
2020-01-04,07:00:00,15.70907,V ugm-3
2020-01-04,08:00:00,11.3859,V ugm-3
2020-01-04,09:00:00,11.23197,V ugm-3
2020-01-04,10:00:00,13.97545,V ugm-3
2020-01-04,11:00:00,12.37332,V ugm-3
2020-01-04,12:00:00,15.57809,V ugm-3
2020-01-04,13:00:00,15.43742,V ugm-3
2020-01-04,14:00:00,18.39421,V ugm-3
2020-01-04,15:00:00,13.72357,V ugm-3
2020-01-04,16:00:00,18.19417,V ugm-3
2020-01-04,17:00:00,13.26384,V ugm-3
2020-01-04,18:00:00,10.1349,V ugm-3
2020-01-04,19:00:00,12.89425,V ugm-3
2020-01-04,20:00:00,11.7555,V ugm-3
2020-01-04,21:00:00,11.91333,V ugm-3
2020-01-04,22:00:00,8.94458,V ugm-3
2020-01-04,23:00:00,7.07263,V ugm-3
2020-01-04,24:00:00,5.04154,V ugm-3
2020-01-05,01:00:00,4.99606,V ugm-3
2020-01-05,02:00:00,3.90517,V ugm-3
2020-01-05,03:00:00,3.48883,V ugm-3
2020-01-05,04:00:00,3.17652,V ugm-3
2020-01-05,05:00:00,3.28054,V ugm-3
2020-01-05,06:00:00,2.86223,V ugm-3
2020-01-05,07:00:00,4.21675,V ugm-3
2020-01-05,08:00:00,7.86346,V ugm-3
2020-01-05,09:00:00,9.31855,V ugm-3
2020-01-05,10:00:00,6.66387,V ugm-3
2020-01-05,11:00:00,7.75353,V ugm-3
2020-01-05,12:00:00,6.44476,V ugm-3
2020-01-05,13:00:00,8.11035,V ugm-3
2020-01-05,14:00:00,9.46388,V ugm-3
2020-01-05,15:00:00,10.50067,V ugm-3
2020-01-05,16:00:00,10.25377,V ugm-3
2020-01-05,17:00:00,11.70788,V ugm-3
2020-01-05,18:00:00,12.12939,V ugm-3
2020-01-05,19:00:00,12.44219,V ugm-3
2020-01-05,20:00:00,11.13317,V ugm-3
2020-01-05,21:00:00,7.65197,V ugm-3
2020-01-05,22:00:00,5.72348,V ugm-3
2020-01-05,23:00:00,5.93497,V ugm-3
2020-01-05,24:00:00,7.70459,V ugm-3
2020-01-06,01:00:00,2.71008,V ugm-3
2020-01-06,02:00:00,1.30117,V ugm-3
2020-01-06,03:00:00,1.3545,V ugm-3
2020-01-06,04:00:00,1.19751,V ugm-3
2020-01-06,05:00:00,1.92682,V ugm-3
2020-01-06,06:00:00,4.53425,V ugm-3
2020-01-06,07:00:00,15.2172,V ugm-3
2020-01-06,08:00:00,23.75444,V ugm-3
2020-01-06,09:00:00,22.50104,V ugm-3
2020-01-06,10:00:00,11.44915,V ugm-3
2020-01-06,11:00:00,11.14003,V ugm-3
2020-01-06,12:00:00,13.48426,V ugm-3
2020-01-06,13:00:00,21.8645,V ugm-3
2020-01-06,14:00:00,19.00244,V ugm-3
2020-01-06,15:00:00,20.94899,V ugm-3
2020-01-06,16:00:00,19.87322,V ugm-3
2020-01-06,17:00:00,20.07613,V ugm-3
2020-01-06,18:00:00,21.64142,V ugm-3
2020-01-06,19:00:00,23.06015,V ugm-3
2020-01-06,20:00:00,13.78851,V ugm-3
2020-01-06,21:00:00,10.57072,V ugm-3
2020-01-06,22:00:00,10.92877,V ugm-3
2020-01-06,23:00:00,11.88464,V ugm-3
2020-01-06,24:00:00,8.91058,V ugm-3
2020-01-07,01:00:00,6.6091,V ugm-3
2020-01-07,02:00:00,4.64504,V ugm-3
2020-01-07,03:00:00,4.27864,V ugm-3
2020-01-07,04:00:00,2.71296,V ugm-3
2020-01-07,05:00:00,3.64919,V ugm-3
2020-01-07,06:00:00,4.27647,V ugm-3
2020-01-07,07:00:00,10.06617,V ugm-3
2020-01-07,08:00:00,39.26667,V ugm-3
2020-01-07,09:00:00,42.76247,V ugm-3
2020-01-07,10:00:00,45.8997,V ugm-3
2020-01-07,11:00:00,22.67146,V ugm-3
2020-01-07,12:00:00,15.00864,V ugm-3
2020-01-07,13:00:00,13.69643,V ugm-3
2020-01-07,14:00:00,10.20564,V ugm-3
2020-01-07,15:00:00,12.61312,V ugm-3
2020-01-07,16:00:00,12.71451,V ugm-3
