Date,Time,NO2 (µg/m3),PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-01,01,37.25553,,,2020-01-01 01:00:00
2020-01-01,02,31.91918,,,2020-01-01 02:00:00
2020-01-01,03,33.22037,,,2020-01-01 03:00:00
2020-01-01,04,32.69029,,,2020-01-01 04:00:00
2020-01-01,05,33.39726,,,2020-01-01 05:00:00
2020-01-01,06,39.05877,,,2020-01-01 06:00:00
2020-01-01,07,33.17906,,,2020-01-01 07:00:00
2020-01-01,08,32.70335,,,2020-01-01 08:00:00
2020-01-01,09,29.69139,,,2020-01-01 09:00:00
2020-01-01,10,22.95119,,,2020-01-01 10:00:00
2020-01-01,11,16.77547,,,2020-01-01 11:00:00
2020-01-01,12,15.58751,,,2020-01-01 12:00:00
2020-01-01,13,15.4497,,,2020-01-01 13:00:00
2020-01-01,14,15.96712,,,2020-01-01 14:00:00
2020-01-01,15,20.34557,,,2020-01-01 15:00:00
2020-01-01,16,22.14393,,,2020-01-01 16:00:00
2020-01-01,17,23.56364,,,2020-01-01 17:00:00
2020-01-01,18,16.84759,,,2020-01-01 18:00:00
2020-01-01,19,16.7804,,,2020-01-01 19:00:00
2020-01-01,20,18.55909,,,2020-01-01 20:00:00
2020-01-01,21,21.85422,,,2020-01-01 21:00:00
2020-01-01,22,26.71946,,,2020-01-01 22:00:00
2020-01-01,23,35.90136,,,2020-01-01 23:00:00
2020-01-01,00,35.33186,,,2020-01-01 00:00:00
2020-01-02,01,23.83083,,,2020-01-02 01:00:00
2020-01-02,02,10.02532,,,2020-01-02 02:00:00
2020-01-02,03,10.88716,,,2020-01-02 03:00:00
2020-01-02,04,8.98212,,,2020-01-02 04:00:00
2020-01-02,05,8.10934,,,2020-01-02 05:00:00
2020-01-02,06,12.02549,,,2020-01-02 06:00:00
2020-01-02,07,12.98354,,,2020-01-02 07:00:00
2020-01-02,08,16.20479,,,2020-01-02 08:00:00
2020-01-02,09,14.84853,,,2020-01-02 09:00:00
2020-01-02,10,12.85197,,,2020-01-02 10:00:00
2020-01-02,11,18.22058,,,2020-01-02 11:00:00
2020-01-02,12,15.16242,,,2020-01-02 12:00:00
2020-01-02,13,19.23318,,,2020-01-02 13:00:00
2020-01-02,14,17.27742,,,2020-01-02 14:00:00
2020-01-02,15,19.01423,,,2020-01-02 15:00:00
2020-01-02,16,13.88655,,,2020-01-02 16:00:00
2020-01-02,17,16.22308,,,2020-01-02 17:00:00
2020-01-02,18,17.47082,,,2020-01-02 18:00:00
2020-01-02,19,12.36654,,,2020-01-02 19:00:00
2020-01-02,20,12.88694,,,2020-01-02 20:00:00
2020-01-02,21,13.17425,,,2020-01-02 21:00:00
2020-01-02,22,11.26138,,,2020-01-02 22:00:00
2020-01-02,23,3.88364,,,2020-01-02 23:00:00
2020-01-02,00,5.63195,,,2020-01-02 00:00:00
2020-01-03,01,8.35948,,,2020-01-03 01:00:00
2020-01-03,02,9.88121,,,2020-01-03 02:00:00
2020-01-03,03,14.81437,,,2020-01-03 03:00:00
2020-01-03,04,13.42982,,,2020-01-03 04:00:00
2020-01-03,05,15.60648,,,2020-01-03 05:00:00
2020-01-03,06,12.52297,,,2020-01-03 06:00:00
2020-01-03,07,21.54778,,,2020-01-03 07:00:00
2020-01-03,08,27.61769,,,2020-01-03 08:00:00
2020-01-03,09,40.89702,,,2020-01-03 09:00:00
2020-01-03,10,36.51053,,,2020-01-03 10:00:00
2020-01-03,11,18.00013,,,2020-01-03 11:00:00
2020-01-03,12,21.71648,,,2020-01-03 12:00:00
2020-01-03,13,15.6545,,,2020-01-03 13:00:00
2020-01-03,14,12.83465,,,2020-01-03 14:00:00
2020-01-03,15,16.26514,,,2020-01-03 15:00:00
2020-01-03,16,17.62638,,,2020-01-03 16:00:00
2020-01-03,17,27.27841,,,2020-01-03 17:00:00
2020-01-03,18,14.59213,,,2020-01-03 18:00:00
2020-01-03,19,8.42836,,,2020-01-03 19:00:00
2020-01-03,20,7.48896,,,2020-01-03 20:00:00
2020-01-03,21,9.77577,,,2020-01-03 21:00:00
2020-01-03,22,10.58169,,,2020-01-03 22:00:00
2020-01-03,23,5.9326,,,2020-01-03 23:00:00
2020-01-03,00,7.9118,,,2020-01-03 00:00:00
2020-01-04,01,13.62658,,,2020-01-04 01:00:00
2020-01-04,02,6.78336,,,2020-01-04 02:00:00
2020-01-04,03,5.87068,,,2020-01-04 03:00:00
2020-01-04,04,4.83116,,,2020-01-04 04:00:00
2020-01-04,05,3.83599,,,2020-01-04 05:00:00
2020-01-04,06,5.4182,,,2020-01-04 06:00:00
2020-01-04,07,4.01062,,,2020-01-04 07:00:00
2020-01-04,08,8.12599,,,2020-01-04 08:00:00
2020-01-04,09,7.47834,,,2020-01-04 09:00:00
2020-01-04,10,13.79152,,,2020-01-04 10:00:00
2020-01-04,11,14.86574,,,2020-01-04 11:00:00
2020-01-04,12,13.15461,,,2020-01-04 12:00:00
2020-01-04,13,15.12666,,,2020-01-04 13:00:00
2020-01-04,14,14.07226,,,2020-01-04 14:00:00
2020-01-04,15,16.46783,,,2020-01-04 15:00:00
2020-01-04,16,22.28956,,,2020-01-04 16:00:00
2020-01-04,17,19.19124,,,2020-01-04 17:00:00
2020-01-04,18,19.18314,,,2020-01-04 18:00:00
2020-01-04,19,14.53041,,,2020-01-04 19:00:00
2020-01-04,20,14.08097,,,2020-01-04 20:00:00
2020-01-04,21,18.28719,,,2020-01-04 21:00:00
2020-01-04,22,14.59119,,,2020-01-04 22:00:00
2020-01-04,23,12.8746,,,2020-01-04 23:00:00
2020-01-04,00,8.16764,,,2020-01-04 00:00:00
2020-01-05,01,10.0352,,,2020-01-05 01:00:00
2020-01-05,02,10.25976,,,2020-01-05 02:00:00
2020-01-05,03,9.29516,,,2020-01-05 03:00:00
2020-01-05,04,10.42113,,,2020-01-05 04:00:00
2020-01-05,05,7.85366,,,2020-01-05 05:00:00
2020-01-05,06,6.40498,,,2020-01-05 06:00:00
2020-01-05,07,7.16041,,,2020-01-05 07:00:00
2020-01-05,08,11.86723,,,2020-01-05 08:00:00
2020-01-05,09,11.77212,,,2020-01-05 09:00:00
2020-01-05,10,10.58708,,,2020-01-05 10:00:00
2020-01-05,11,10.21327,,,2020-01-05 11:00:00
2020-01-05,12,10.60127,,,2020-01-05 12:00:00
2020-01-05,13,11.0258,,,2020-01-05 13:00:00
2020-01-05,14,12.79635,,,2020-01-05 14:00:00
2020-01-05,15,13.47096,,,2020-01-05 15:00:00
2020-01-05,16,14.15477,,,2020-01-05 16:00:00
2020-01-05,17,14.30325,,,2020-01-05 17:00:00
2020-01-05,18,14.38934,,,2020-01-05 18:00:00
2020-01-05,19,17.82092,,,2020-01-05 19:00:00
2020-01-05,20,12.35308,,,2020-01-05 20:00:00
2020-01-05,21,11.12605,,,2020-01-05 21:00:00
2020-01-05,22,9.4529,,,2020-01-05 22:00:00
