Date,Time,PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-01,01,50.65,43.628,2020-01-01 01:00:00
2020-01-01,02,44.16,38.061,2020-01-01 02:00:00
2020-01-01,03,50.783,43.628,2020-01-01 03:00:00
2020-01-01,04,35.975,31.276,2020-01-01 04:00:00
2020-01-01,05,34.275,29.526,2020-01-01 05:00:00
2020-01-01,06,27.205,23.736,2020-01-01 06:00:00
2020-01-01,07,23.433,20.422,2020-01-01 07:00:00
2020-01-01,08,19.578,16.573,2020-01-01 08:00:00
2020-01-01,09,17.3,13.993,2020-01-01 09:00:00
2020-01-01,10,17.678,14.451,2020-01-01 10:00:00
2020-01-01,11,20.128,16.502,2020-01-01 11:00:00
2020-01-01,12,20.878,17.783,2020-01-01 12:00:00
2020-01-01,13,23.87,19.948,2020-01-01 13:00:00
2020-01-01,14,26.773,21.958,2020-01-01 14:00:00
2020-01-01,15,26.415,20.868,2020-01-01 15:00:00
2020-01-01,16,26.36,20.913,2020-01-01 16:00:00
2020-01-01,17,30.25,24.618,2020-01-01 17:00:00
2020-01-01,18,28.113,23.33,2020-01-01 18:00:00
2020-01-01,19,24.458,19.724,2020-01-01 19:00:00
2020-01-01,20,26.353,21.816,2020-01-01 20:00:00
2020-01-01,21,28.223,23.363,2020-01-01 21:00:00
2020-01-01,22,29.85,24.908,2020-01-01 22:00:00
2020-01-01,23,29.855,24.863,2020-01-01 23:00:00
2020-01-01,00,26.25,21.274,2020-01-01 00:00:00
2020-01-02,01,14.938,11.097,2020-01-02 01:00:00
2020-01-02,02,12.383,7.617,2020-01-02 02:00:00
2020-01-02,03,14.11,7.739,2020-01-02 03:00:00
2020-01-02,04,13.61,7.589,2020-01-02 04:00:00
2020-01-02,05,14.88,8.093,2020-01-02 05:00:00
2020-01-02,06,17.56,8.764,2020-01-02 06:00:00
2020-01-02,07,18.29,8.768,2020-01-02 07:00:00
2020-01-02,08,13.84,6.683,2020-01-02 08:00:00
2020-01-02,09,10.414,4.83,2020-01-02 09:00:00
2020-01-02,10,8.835,4.396,2020-01-02 10:00:00
2020-01-02,11,13.088,6.177,2020-01-02 11:00:00
2020-01-02,12,13.835,6.188,2020-01-02 12:00:00
2020-01-02,13,9.007,4.464,2020-01-02 13:00:00
2020-01-02,14,3.363,2.198,2020-01-02 14:00:00
2020-01-02,15,3.927,2.354,2020-01-02 15:00:00
2020-01-02,16,5.945,3.419,2020-01-02 16:00:00
2020-01-02,17,5.155,3.354,2020-01-02 17:00:00
2020-01-02,18,5.165,3.338,2020-01-02 18:00:00
2020-01-02,19,5.659,3.707,2020-01-02 19:00:00
2020-01-02,20,6.196,4.366,2020-01-02 20:00:00
2020-01-02,21,6.34,4.363,2020-01-02 21:00:00
2020-01-02,22,5.025,3.572,2020-01-02 22:00:00
2020-01-02,23,3.049,1.843,2020-01-02 23:00:00
2020-01-02,00,14.025,7.356,2020-01-02 00:00:00
2020-01-03,01,19.798,9.558,2020-01-03 01:00:00
2020-01-03,02,18.18,8.875,2020-01-03 02:00:00
2020-01-03,03,19.148,8.823,2020-01-03 03:00:00
2020-01-03,04,15.588,7.776,2020-01-03 04:00:00
2020-01-03,05,15.323,7.432,2020-01-03 05:00:00
2020-01-03,06,11.818,5.925,2020-01-03 06:00:00
2020-01-03,07,12.875,6.455,2020-01-03 07:00:00
2020-01-03,08,13.655,6.603,2020-01-03 08:00:00
2020-01-03,09,13.995,6.647,2020-01-03 09:00:00
2020-01-03,10,18.36,8.181,2020-01-03 10:00:00
2020-01-03,11,13.63,6.586,2020-01-03 11:00:00
2020-01-03,12,11.628,5.692,2020-01-03 12:00:00
2020-01-03,13,11.225,5.006,2020-01-03 13:00:00
2020-01-03,14,12.168,6.038,2020-01-03 14:00:00
2020-01-03,15,14.8,6.995,2020-01-03 15:00:00
2020-01-03,16,14.805,7.066,2020-01-03 16:00:00
2020-01-03,17,13.413,6.83,2020-01-03 17:00:00
2020-01-03,18,14.633,7.846,2020-01-03 18:00:00
2020-01-03,19,18.97,9.686,2020-01-03 19:00:00
2020-01-03,20,12.116,6.075,2020-01-03 20:00:00
2020-01-03,21,12.363,6.761,2020-01-03 21:00:00
2020-01-03,22,10.341,5.647,2020-01-03 22:00:00
2020-01-03,23,10.328,5.577,2020-01-03 23:00:00
2020-01-03,00,13.22,6.661,2020-01-03 00:00:00
2020-01-04,01,18.375,8.638,2020-01-04 01:00:00
2020-01-04,02,11.349,6.191,2020-01-04 02:00:00
2020-01-04,03,11.538,5.55,2020-01-04 03:00:00
2020-01-04,04,11.59,5.292,2020-01-04 04:00:00
2020-01-04,05,10.565,4.999,2020-01-04 05:00:00
2020-01-04,06,9.154,4.55,2020-01-04 06:00:00
2020-01-04,07,7.952,4.061,2020-01-04 07:00:00
2020-01-04,08,9.836,4.738,2020-01-04 08:00:00
2020-01-04,09,10.411,5.128,2020-01-04 09:00:00
2020-01-04,10,10.82,5.051,2020-01-04 10:00:00
2020-01-04,11,8.564,4.309,2020-01-04 11:00:00
2020-01-04,12,4.833,2.828,2020-01-04 12:00:00
2020-01-04,13,4.376,2.557,2020-01-04 13:00:00
2020-01-04,14,8.84,4.596,2020-01-04 14:00:00
2020-01-04,15,7.173,4.085,2020-01-04 15:00:00
2020-01-04,16,8.603,4.507,2020-01-04 16:00:00
2020-01-04,17,7.061,4.465,2020-01-04 17:00:00
2020-01-04,18,8.138,4.86,2020-01-04 18:00:00
2020-01-04,19,7.936,4.865,2020-01-04 19:00:00
2020-01-04,20,8.531,5.532,2020-01-04 20:00:00
2020-01-04,21,10.333,7.093,2020-01-04 21:00:00
2020-01-04,22,9.621,6.793,2020-01-04 22:00:00
2020-01-04,23,10.082,7.908,2020-01-04 23:00:00
2020-01-04,00,10.898,8.494,2020-01-04 00:00:00
2020-01-05,01,10.246,7.742,2020-01-05 01:00:00
2020-01-05,02,9.261,6.838,2020-01-05 02:00:00
2020-01-05,03,10.208,7.646,2020-01-05 03:00:00
2020-01-05,04,8.025,5.948,2020-01-05 04:00:00
2020-01-05,05,8.201,6.127,2020-01-05 05:00:00
2020-01-05,06,6.712,4.882,2020-01-05 06:00:00
2020-01-05,07,5.947,4.534,2020-01-05 07:00:00
2020-01-05,08,2.602,1.673,2020-01-05 08:00:00
2020-01-05,09,4.97,3.283,2020-01-05 09:00:00
2020-01-05,10,5.515,3.729,2020-01-05 10:00:00
2020-01-05,11,5.562,3.685,2020-01-05 11:00:00
2020-01-05,12,6.265,3.876,2020-01-05 12:00:00
2020-01-05,13,4.411,2.803,2020-01-05 13:00:00
2020-01-05,14,4.712,3.126,2020-01-05 14:00:00
2020-01-05,15,4.247,2.974,2020-01-05 15:00:00
2020-01-05,16,4.829,3.185,2020-01-05 16:00:00
2020-01-05,17,5.871,3.82,2020-01-05 17:00:00
2020-01-05,18,6.481,4.506,2020-01-05 18:00:00
2020-01-05,19,7.218,5.14,2020-01-05 19:00:00
2020-01-05,20,9.111,6.101,2020-01-05 20:00:00
2020-01-05,21,10.666,6.533,2020-01-05 21:00:00
2020-01-05,22,10.288,5.556,2020-01-05 22:00:00
2020-01-05,23,9.321,4.788,2020-01-05 23:00:00
2020-01-05,00,6.59,4.268,2020-01-05 00:00:00
2020-01-06,01,4.664,3.244,2020-01-06 01:00:00
2020-01-06,02,5.62,2.568,2020-01-06 02:00:00
2020-01-06,03,5.089,2.622,2020-01-06 03:00:00
2020-01-06,04,5.223,2.296,2020-01-06 04:00:00
2020-01-06,05,4.272,1.849,2020-01-06 05:00:00
2020-01-06,06,4.178,2.233,2020-01-06 06:00:00
2020-01-06,07,6.005,3.053,2020-01-06 07:00:00
2020-01-06,08,7.405,3.429,2020-01-06 08:00:00
2020-01-06,09,9.833,4.623,2020-01-06 09:00:00
2020-01-06,10,13.273,6.238,2020-01-06 10:00:00
2020-01-06,11,8.446,4.9,2020-01-06 11:00:00
2020-01-06,12,5.867,2.711,2020-01-06 12:00:00
2020-01-06,13,5.298,3.362,2020-01-06 13:00:00
2020-01-06,14,6.014,3.633,2020-01-06 14:00:00
2020-01-06,15,10.262,4.644,2020-01-06 15:00:00
2020-01-06,16,15.63,7.381,2020-01-06 16:00:00
2020-01-06,17,15.398,7.873,2020-01-06 17:00:00
2020-01-06,18,16.398,8.201,2020-01-06 18:00:00
2020-01-06,19,17.175,8.665,2020-01-06 19:00:00
2020-01-06,20,21.158,9.811,2020-01-06 20:00:00
2020-01-06,21,21.393,9.471,2020-01-06 21:00:00
2020-01-06,22,17.678,8.171,2020-01-06 22:00:00
2020-01-06,23,19.63,9.386,2020-01-06 23:00:00
2020-01-06,00,22.148,10.231,2020-01-06 00:00:00
2020-01-07,01,23.39,11.172,2020-01-07 01:00:00
2020-01-07,02,23.528,10.946,2020-01-07 02:00:00
2020-01-07,03,20.638,10.04,2020-01-07 03:00:00
2020-01-07,04,18.188,8.614,2020-01-07 04:00:00
2020-01-07,05,16.258,8.135,2020-01-07 05:00:00
2020-01-07,06,13.153,7.345,2020-01-07 06:00:00
2020-01-07,07,12.208,7.15,2020-01-07 07:00:00
2020-01-07,08,11.418,7.224,2020-01-07 08:00:00
2020-01-07,09,13.26,7.941,2020-01-07 09:00:00
2020-01-07,10,8.903,5.194,2020-01-07 10:00:00
2020-01-07,11,8.009,4.855,2020-01-07 11:00:00
2020-01-07,12,7.237,4.578,2020-01-07 12:00:00
2020-01-07,13,8.516,5.275,2020-01-07 13:00:00
2020-01-07,14,9.421,5.785,2020-01-07 14:00:00
2020-01-07,15,7.689,4.379,2020-01-07 15:00:00
2020-01-07,16,6.205,3.717,2020-01-07 16:00:00
2020-01-07,17,6.4,3.696,2020-01-07 17:00:00
2020-01-07,18,7.526,4.079,2020-01-07 18:00:00
2020-01-07,19,5.546,3.648,2020-01-07 19:00:00
2020-01-07,20,24.233,13.257,2020-01-07 20:00:00
2020-01-07,21,31.125,18.175,2020-01-07 21:00:00
2020-01-07,22,27.698,15.896,2020-01-07 22:00:00
2020-01-07,23,17.998,10.574,2020-01-07 23:00:00
2020-01-07,00,17.388,8.548,2020-01-07 00:00:00
2020-01-08,01,25.0,12.922,2020-01-08 01:00:00
2020-01-08,02,18.62,10.111,2020-01-08 02:00:00
2020-01-08,03,17.423,9.333,2020-01-08 03:00:00
2020-01-08,04,13.735,7.604,2020-01-08 04:00:00
2020-01-08,05,17.303,8.536,2020-01-08 05:00:00
2020-01-08,06,13.53,6.821,2020-01-08 06:00:00
2020-01-08,07,14.128,7.028,2020-01-08 07:00:00
2020-01-08,08,15.41,7.423,2020-01-08 08:00:00
2020-01-08,09,15.615,7.78,2020-01-08 09:00:00
2020-01-08,10,10.171,5.229,2020-01-08 10:00:00
2020-01-08,11,11.688,5.564,2020-01-08 11:00:00
2020-01-08,12,10.136,4.841,2020-01-08 12:00:00
2020-01-08,13,8.894,4.761,2020-01-08 13:00:00
2020-01-08,14,11.184,5.661,2020-01-08 14:00:00
2020-01-08,15,12.621,6.034,2020-01-08 15:00:00
2020-01-08,16,9.464,4.429,2020-01-08 16:00:00
2020-01-08,17,7.945,3.942,2020-01-08 17:00:00
2020-01-08,18,6.938,4.383,2020-01-08 18:00:00
2020-01-08,19,5.983,3.622,2020-01-08 19:00:00
2020-01-08,20,7.572,5.007,2020-01-08 20:00:00
2020-01-08,21,9.261,5.384,2020-01-08 21:00:00
2020-01-08,22,12.218,7.032,2020-01-08 22:00:00
2020-01-08,23,13.795,8.961,2020-01-08 23:00:00
2020-01-08,00,14.88,8.386,2020-01-08 00:00:00
2020-01-09,01,12.428,7.564,2020-01-09 01:00:00
2020-01-09,02,11.743,6.625,2020-01-09 02:00:00
2020-01-09,03,11.283,6.388,2020-01-09 03:00:00
2020-01-09,04,10.408,6.362,2020-01-09 04:00:00
2020-01-09,05,12.32,7.493,2020-01-09 05:00:00
2020-01-09,06,12.675,7.9,2020-01-09 06:00:00
2020-01-09,07,13.445,7.981,2020-01-09 07:00:00
2020-01-09,08,11.474,7.033,2020-01-09 08:00:00
2020-01-09,09,8.251,5.529,2020-01-09 09:00:00
2020-01-09,10,4.913,3.363,2020-01-09 10:00:00
2020-01-09,11,5.939,3.892,2020-01-09 11:00:00
2020-01-09,12,7.822,6.165,2020-01-09 12:00:00
2020-01-09,13,8.037,5.718,2020-01-09 13:00:00
2020-01-09,14,7.329,4.838,2020-01-09 14:00:00
2020-01-09,15,5.678,4.315,2020-01-09 15:00:00
2020-01-09,16,7.448,4.705,2020-01-09 16:00:00
2020-01-09,17,9.927,6.222,2020-01-09 17:00:00
2020-01-09,18,24.678,19.686,2020-01-09 18:00:00
2020-01-09,19,18.193,13.946,2020-01-09 19:00:00
2020-01-09,20,16.308,12.729,2020-01-09 20:00:00
2020-01-09,21,31.61,26.738,2020-01-09 21:00:00
2020-01-09,22,51.645,45.271,2020-01-09 22:00:00
2020-01-09,23,32.98,28.658,2020-01-09 23:00:00
2020-01-09,00,25.865,21.557,2020-01-09 00:00:00
2020-01-10,01,27.438,23.892,2020-01-10 01:00:00
2020-01-10,02,24.998,21.668,2020-01-10 02:00:00
2020-01-10,03,24.935,20.844,2020-01-10 03:00:00
2020-01-10,04,20.43,16.974,2020-01-10 04:00:00
2020-01-10,05,16.883,14.262,2020-01-10 05:00:00
2020-01-10,06,16.465,13.509,2020-01-10 06:00:00
2020-01-10,07,16.185,13.418,2020-01-10 07:00:00
2020-01-10,08,18.77,15.25,2020-01-10 08:00:00
2020-01-10,09,23.045,18.604,2020-01-10 09:00:00
2020-01-10,10,25.188,19.635,2020-01-10 10:00:00
2020-01-10,11,31.843,19.797,2020-01-10 11:00:00
2020-01-10,12,32.513,20.012,2020-01-10 12:00:00
2020-01-10,13,27.608,10.218,2020-01-10 13:00:00
2020-01-10,14,20.02,8.0,2020-01-10 14:00:00
2020-01-10,15,14.038,6.197,2020-01-10 15:00:00
2020-01-10,16,13.143,6.142,2020-01-10 16:00:00
2020-01-10,17,13.26,6.134,2020-01-10 17:00:00
2020-01-10,18,12.908,6.449,2020-01-10 18:00:00
2020-01-10,19,12.153,6.526,2020-01-10 19:00:00
2020-01-10,20,6.506,3.974,2020-01-10 20:00:00
2020-01-10,21,4.299,2.886,2020-01-10 21:00:00
2020-01-10,22,5.77,3.907,2020-01-10 22:00:00
2020-01-10,23,7.371,4.737,2020-01-10 23:00:00
2020-01-10,00,9.641,6.521,2020-01-10 00:00:00
