Date,Time,PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-01,01,42.108,36.451,2020-01-01 01:00:00
2020-01-01,02,50.075,42.477,2020-01-01 02:00:00
2020-01-01,03,51.868,45.227,2020-01-01 03:00:00
2020-01-01,04,28.91,25.177,2020-01-01 04:00:00
2020-01-01,05,21.615,18.639,2020-01-01 05:00:00
2020-01-01,06,18.923,16.307,2020-01-01 06:00:00
2020-01-01,07,17.783,15.396,2020-01-01 07:00:00
2020-01-01,08,15.52,12.936,2020-01-01 08:00:00
2020-01-01,09,14.625,11.724,2020-01-01 09:00:00
2020-01-01,10,14.115,11.866,2020-01-01 10:00:00
2020-01-01,11,15.835,13.113,2020-01-01 11:00:00
2020-01-01,12,17.698,14.455,2020-01-01 12:00:00
2020-01-01,13,19.35,16.297,2020-01-01 13:00:00
2020-01-01,14,22.585,17.797,2020-01-01 14:00:00
2020-01-01,15,21.063,16.986,2020-01-01 15:00:00
2020-01-01,16,22.078,17.854,2020-01-01 16:00:00
2020-01-01,17,25.178,20.781,2020-01-01 17:00:00
2020-01-01,18,24.905,20.84,2020-01-01 18:00:00
2020-01-01,19,21.965,18.425,2020-01-01 19:00:00
2020-01-01,20,21.883,17.811,2020-01-01 20:00:00
2020-01-01,21,23.033,19.014,2020-01-01 21:00:00
2020-01-01,22,22.698,19.184,2020-01-01 22:00:00
2020-01-01,23,24.19,20.019,2020-01-01 23:00:00
2020-01-01,00,20.643,16.748,2020-01-01 00:00:00
2020-01-02,01,12.495,8.877,2020-01-02 01:00:00
2020-01-02,02,10.813,6.392,2020-01-02 02:00:00
2020-01-02,03,11.485,6.666,2020-01-02 03:00:00
2020-01-02,04,12.908,6.747,2020-01-02 04:00:00
2020-01-02,05,13.688,7.205,2020-01-02 05:00:00
2020-01-02,06,15.735,7.838,2020-01-02 06:00:00
2020-01-02,07,15.89,7.716,2020-01-02 07:00:00
2020-01-02,08,12.482,5.956,2020-01-02 08:00:00
2020-01-02,09,10.001,4.783,2020-01-02 09:00:00
