Date,Time,NO2 (µg/m3),PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-01,01,69.24236,19.575,16.156,2020-01-01 01:00:00
2020-01-01,02,62.41148,26.475,22.052,2020-01-01 02:00:00
2020-01-01,03,63.00646,22.05,17.925,2020-01-01 03:00:00
2020-01-01,04,65.06798,16.8,14.033,2020-01-01 04:00:00
2020-01-01,05,64.14318,16.375,13.326,2020-01-01 05:00:00
2020-01-01,06,50.94988,15.175,12.594,2020-01-01 06:00:00
2020-01-01,07,51.27046,14.675,12.5,2020-01-01 07:00:00
2020-01-01,08,53.83027,14.775,12.123,2020-01-01 08:00:00
2020-01-01,09,25.86672,12.175,9.458,2020-01-01 09:00:00
2020-01-01,10,23.0176,13.5,10.59,2020-01-01 10:00:00
2020-01-01,11,11.56407,15.95,12.524,2020-01-01 11:00:00
2020-01-01,12,9.98838,16.925,13.797,2020-01-01 12:00:00
2020-01-01,13,10.57886,18.025,15.094,2020-01-01 13:00:00
2020-01-01,14,14.9052,22.375,17.335,2020-01-01 14:00:00
2020-01-01,15,18.43089,22.4,17.335,2020-01-01 15:00:00
2020-01-01,16,20.0917,23.0,17.783,2020-01-01 16:00:00
2020-01-01,17,14.40171,22.075,18.137,2020-01-01 17:00:00
2020-01-01,18,13.64883,21.775,17.406,2020-01-01 18:00:00
2020-01-01,19,11.2728,18.3,14.67,2020-01-01 19:00:00
2020-01-01,20,13.75376,21.05,17.359,2020-01-01 20:00:00
2020-01-01,21,16.93043,23.45,18.939,2020-01-01 21:00:00
2020-01-01,22,23.09449,23.525,19.033,2020-01-01 22:00:00
2020-01-01,23,16.82226,22.625,18.137,2020-01-01 23:00:00
2020-01-01,00,18.46659,21.575,17.028,2020-01-01 00:00:00
2020-01-02,01,17.66877,15.725,11.132,2020-01-02 01:00:00
2020-01-02,02,1.79095,10.55,6.156,2020-01-02 02:00:00
2020-01-02,03,0.9462,11.85,6.085,2020-01-02 03:00:00
2020-01-02,04,0.79633,12.1,6.132,2020-01-02 04:00:00
2020-01-02,05,1.19488,14.525,7.005,2020-01-02 05:00:00
2020-01-02,06,3.48197,16.0,7.382,2020-01-02 06:00:00
2020-01-02,07,4.67325,16.85,7.571,2020-01-02 07:00:00
2020-01-02,08,5.60838,12.625,5.778,2020-01-02 08:00:00
2020-01-02,09,5.758,7.8,3.75,2020-01-02 09:00:00
2020-01-02,10,5.81396,8.55,3.75,2020-01-02 10:00:00
2020-01-02,11,6.5551,13.075,5.33,2020-01-02 11:00:00
2020-01-02,12,8.78288,11.45,4.953,2020-01-02 12:00:00
2020-01-02,13,11.36998,6.65,3.16,2020-01-02 13:00:00
2020-01-02,14,10.07399,2.525,1.392,2020-01-02 14:00:00
2020-01-02,15,11.41256,3.0,1.415,2020-01-02 15:00:00
2020-01-02,16,13.55339,4.825,2.524,2020-01-02 16:00:00
2020-01-02,17,15.03771,5.15,2.854,2020-01-02 17:00:00
2020-01-02,18,11.41076,4.35,2.5,2020-01-02 18:00:00
2020-01-02,19,12.70392,5.4,3.42,2020-01-02 19:00:00
2020-01-02,20,10.51795,5.05,3.396,2020-01-02 20:00:00
2020-01-02,21,10.37554,4.675,3.113,2020-01-02 21:00:00
2020-01-02,22,9.43217,4.525,2.807,2020-01-02 22:00:00
2020-01-02,23,25.37042,3.3,1.462,2020-01-02 23:00:00
2020-01-02,00,23.9697,11.05,5.778,2020-01-02 00:00:00
2020-01-03,01,21.56015,16.475,8.467,2020-01-03 01:00:00
2020-01-03,02,17.91624,15.3,7.665,2020-01-03 02:00:00
2020-01-03,03,10.01895,15.225,7.524,2020-01-03 03:00:00
2020-01-03,04,11.65244,13.525,6.84,2020-01-03 04:00:00
2020-01-03,05,22.06566,12.75,6.368,2020-01-03 05:00:00
2020-01-03,06,17.06745,10.125,5.354,2020-01-03 06:00:00
2020-01-03,07,33.93588,11.55,5.566,2020-01-03 07:00:00
2020-01-03,08,44.45435,12.75,5.991,2020-01-03 08:00:00
2020-01-03,09,57.64298,12.075,5.991,2020-01-03 09:00:00
2020-01-03,10,62.2185,13.95,6.722,2020-01-03 10:00:00
2020-01-03,11,55.2266,13.225,6.085,2020-01-03 11:00:00
2020-01-03,12,44.49564,10.9,5.236,2020-01-03 12:00:00
2020-01-03,13,37.44316,9.325,4.741,2020-01-03 13:00:00
2020-01-03,14,42.01788,10.525,5.731,2020-01-03 14:00:00
2020-01-03,15,41.71825,13.35,6.769,2020-01-03 15:00:00
2020-01-03,16,37.17717,12.4,6.439,2020-01-03 16:00:00
2020-01-03,17,42.77884,11.725,6.25,2020-01-03 17:00:00
2020-01-03,18,42.00816,12.925,7.052,2020-01-03 18:00:00
2020-01-03,19,24.7866,17.3,8.184,2020-01-03 19:00:00
2020-01-03,20,30.27484,10.275,5.684,2020-01-03 20:00:00
2020-01-03,21,28.52838,11.55,6.132,2020-01-03 21:00:00
2020-01-03,22,29.91994,10.05,5.472,2020-01-03 22:00:00
2020-01-03,23,28.44984,11.0,5.495,2020-01-03 23:00:00
2020-01-03,00,23.9346,11.55,5.472,2020-01-03 00:00:00
2020-01-04,01,18.1317,17.325,7.665,2020-01-04 01:00:00
2020-01-04,02,9.78982,10.675,5.613,2020-01-04 02:00:00
2020-01-04,03,7.24697,10.3,4.906,2020-01-04 03:00:00
2020-01-04,04,8.39148,9.85,4.835,2020-01-04 04:00:00
2020-01-04,05,4.08046,9.1,4.41,2020-01-04 05:00:00
2020-01-04,06,5.96177,8.025,3.962,2020-01-04 06:00:00
2020-01-04,07,14.10814,8.2,3.915,2020-01-04 07:00:00
2020-01-04,08,15.97509,8.6,4.151,2020-01-04 08:00:00
2020-01-04,09,22.57808,9.575,4.575,2020-01-04 09:00:00
2020-01-04,10,26.61507,10.025,4.646,2020-01-04 10:00:00
2020-01-04,11,29.2271,7.2,3.75,2020-01-04 11:00:00
2020-01-04,12,26.73994,4.55,2.547,2020-01-04 12:00:00
2020-01-04,13,29.27756,3.75,2.264,2020-01-04 13:00:00
2020-01-04,14,25.39967,5.65,3.325,2020-01-04 14:00:00
2020-01-04,15,21.43964,8.05,4.528,2020-01-04 15:00:00
2020-01-04,16,24.01613,7.85,4.34,2020-01-04 16:00:00
2020-01-04,17,23.07492,6.35,3.679,2020-01-04 17:00:00
2020-01-04,18,19.21378,7.2,4.198,2020-01-04 18:00:00
2020-01-04,19,18.61308,7.625,4.505,2020-01-04 19:00:00
2020-01-04,20,19.45687,7.225,4.505,2020-01-04 20:00:00
2020-01-04,21,15.82961,8.575,5.825,2020-01-04 21:00:00
2020-01-04,22,12.00751,8.175,5.684,2020-01-04 22:00:00
2020-01-04,23,10.76669,7.575,5.613,2020-01-04 23:00:00
2020-01-04,00,8.98648,7.25,5.165,2020-01-04 00:00:00
2020-01-05,01,10.91911,7.075,4.882,2020-01-05 01:00:00
2020-01-05,02,6.08472,7.325,5.495,2020-01-05 02:00:00
2020-01-05,03,5.50865,6.925,4.929,2020-01-05 03:00:00
2020-01-05,04,6.15107,6.025,4.458,2020-01-05 04:00:00
2020-01-05,05,3.96978,5.0,3.42,2020-01-05 05:00:00
2020-01-05,06,4.863,5.05,3.16,2020-01-05 06:00:00
2020-01-05,07,4.61485,4.025,2.665,2020-01-05 07:00:00
2020-01-05,08,8.23651,2.025,1.179,2020-01-05 08:00:00
2020-01-05,09,9.22601,3.85,2.288,2020-01-05 09:00:00
2020-01-05,10,7.6923,3.9,2.406,2020-01-05 10:00:00
2020-01-05,11,10.56746,4.825,2.594,2020-01-05 11:00:00
2020-01-05,12,8.13979,4.725,2.807,2020-01-05 12:00:00
2020-01-05,13,11.5602,3.775,2.5,2020-01-05 13:00:00
2020-01-05,14,11.95594,4.1,2.689,2020-01-05 14:00:00
2020-01-05,15,14.63544,3.35,2.193,2020-01-05 15:00:00
2020-01-05,16,16.31954,3.425,2.311,2020-01-05 16:00:00
2020-01-05,17,14.23601,3.975,2.854,2020-01-05 17:00:00
2020-01-05,18,15.73359,4.775,3.396,2020-01-05 18:00:00
2020-01-05,19,13.98506,5.275,4.033,2020-01-05 19:00:00
2020-01-05,20,11.15856,7.375,4.575,2020-01-05 20:00:00
2020-01-05,21,8.48098,9.2,4.764,2020-01-05 21:00:00
2020-01-05,22,6.19737,9.8,4.292,2020-01-05 22:00:00
2020-01-05,23,5.05939,8.85,4.08,2020-01-05 23:00:00
2020-01-05,00,4.31436,5.375,3.184,2020-01-05 00:00:00
2020-01-06,01,1.9852,3.9,2.288,2020-01-06 01:00:00
2020-01-06,02,0.92957,4.375,1.958,2020-01-06 02:00:00
2020-01-06,03,2.18486,4.525,2.146,2020-01-06 03:00:00
2020-01-06,04,1.58932,4.1,1.792,2020-01-06 04:00:00
2020-01-06,05,1.88792,3.0,1.392,2020-01-06 05:00:00
2020-01-06,06,6.1027,3.425,1.604,2020-01-06 06:00:00
2020-01-06,07,6.79511,4.175,2.217,2020-01-06 07:00:00
2020-01-06,08,13.24883,5.45,2.807,2020-01-06 08:00:00
2020-01-06,09,13.38961,7.55,3.443,2020-01-06 09:00:00
2020-01-06,10,9.57252,8.725,4.717,2020-01-06 10:00:00
2020-01-06,11,8.9281,6.55,4.198,2020-01-06 11:00:00
2020-01-06,12,10.16839,2.675,1.698,2020-01-06 12:00:00
2020-01-06,13,14.82797,4.2,2.5,2020-01-06 13:00:00
2020-01-06,14,28.12457,5.0,2.995,2020-01-06 14:00:00
2020-01-06,15,38.63901,9.425,5.047,2020-01-06 15:00:00
2020-01-06,16,35.72004,14.675,6.958,2020-01-06 16:00:00
2020-01-06,17,34.86737,14.9,7.217,2020-01-06 17:00:00
2020-01-06,18,42.95398,16.225,8.349,2020-01-06 18:00:00
2020-01-06,19,34.91238,16.15,8.42,2020-01-06 19:00:00
2020-01-06,20,23.50658,19.625,9.08,2020-01-06 20:00:00
2020-01-06,21,21.66975,17.975,8.373,2020-01-06 21:00:00
2020-01-06,22,16.55774,16.35,7.83,2020-01-06 22:00:00
2020-01-06,23,12.39229,17.2,8.302,2020-01-06 23:00:00
2020-01-06,00,8.62641,18.525,8.915,2020-01-06 00:00:00
2020-01-07,01,7.53543,19.3,9.363,2020-01-07 01:00:00
2020-01-07,02,5.09002,19.2,9.222,2020-01-07 02:00:00
2020-01-07,03,3.17212,18.225,8.656,2020-01-07 03:00:00
2020-01-07,04,1.93353,15.55,7.476,2020-01-07 04:00:00
2020-01-07,05,2.97599,14.1,7.099,2020-01-07 05:00:00
2020-01-07,06,5.30606,11.825,6.321,2020-01-07 06:00:00
2020-01-07,07,11.25656,9.575,5.613,2020-01-07 07:00:00
2020-01-07,08,16.41116,9.725,5.849,2020-01-07 08:00:00
2020-01-07,09,24.15038,9.175,5.967,2020-01-07 09:00:00
2020-01-07,10,21.7167,6.125,3.726,2020-01-07 10:00:00
2020-01-07,11,13.81739,5.15,3.184,2020-01-07 11:00:00
2020-01-07,12,11.25611,5.075,3.349,2020-01-07 12:00:00
2020-01-07,13,10.06538,6.55,4.198,2020-01-07 13:00:00
2020-01-07,14,9.62091,6.7,4.41,2020-01-07 14:00:00
2020-01-07,15,9.47145,5.45,3.373,2020-01-07 15:00:00
2020-01-07,16,10.01531,4.825,2.948,2020-01-07 16:00:00
2020-01-07,17,10.51295,4.6,2.594,2020-01-07 17:00:00
2020-01-07,18,14.28002,4.775,2.759,2020-01-07 18:00:00
2020-01-07,19,13.73749,5.0,3.113,2020-01-07 19:00:00
2020-01-07,20,11.40609,19.925,11.25,2020-01-07 20:00:00
2020-01-07,21,6.25097,26.225,15.094,2020-01-07 21:00:00
2020-01-07,22,7.29062,27.075,15.071,2020-01-07 22:00:00
2020-01-07,23,5.55647,16.625,9.316,2020-01-07 23:00:00
2020-01-07,00,6.69462,14.9,7.453,2020-01-07 00:00:00
2020-01-08,01,3.9622,22.325,11.368,2020-01-08 01:00:00
2020-01-08,02,5.14992,18.275,9.552,2020-01-08 02:00:00
2020-01-08,03,3.11942,15.45,7.995,2020-01-08 03:00:00
2020-01-08,04,3.76372,12.925,6.863,2020-01-08 04:00:00
2020-01-08,05,7.37735,16.825,7.736,2020-01-08 05:00:00
2020-01-08,06,11.6412,13.0,6.297,2020-01-08 06:00:00
2020-01-08,07,16.39108,11.225,5.778,2020-01-08 07:00:00
2020-01-08,08,33.66418,11.475,5.66,2020-01-08 08:00:00
2020-01-08,09,37.27879,12.525,6.038,2020-01-08 09:00:00
2020-01-08,10,29.10966,7.65,4.151,2020-01-08 10:00:00
2020-01-08,11,36.09458,7.6,4.009,2020-01-08 11:00:00
2020-01-08,12,29.21466,7.7,4.505,2020-01-08 12:00:00
2020-01-08,13,32.63493,10.075,5.519,2020-01-08 13:00:00
2020-01-08,14,33.72201,9.975,5.377,2020-01-08 14:00:00
