Date,Time,NO2 (µg/m3),PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-01,01,65.02707,19.875,16.462,2020-01-01 01:00:00
2020-01-01,02,56.86728,26.325,22.123,2020-01-01 02:00:00
2020-01-01,03,54.79366,22.675,19.057,2020-01-01 03:00:00
2020-01-01,04,54.3518,20.55,17.123,2020-01-01 04:00:00
2020-01-01,05,52.39739,19.725,16.557,2020-01-01 05:00:00
2020-01-01,06,49.67071,19.225,16.25,2020-01-01 06:00:00
2020-01-01,07,48.14497,19.075,15.566,2020-01-01 07:00:00
2020-01-01,08,48.43732,16.525,13.326,2020-01-01 08:00:00
2020-01-01,09,21.0447,13.175,10.189,2020-01-01 09:00:00
2020-01-01,10,16.55013,15.2,12.005,2020-01-01 10:00:00
2020-01-01,11,10.16585,16.95,13.821,2020-01-01 11:00:00
2020-01-01,12,9.34899,18.1,15.189,2020-01-01 12:00:00
2020-01-01,13,10.62611,19.45,16.51,2020-01-01 13:00:00
2020-01-01,14,13.33311,24.0,19.127,2020-01-01 14:00:00
2020-01-01,15,15.01768,23.2,18.797,2020-01-01 15:00:00
2020-01-01,16,15.22195,24.175,19.505,2020-01-01 16:00:00
2020-01-01,17,15.73435,23.7,20.142,2020-01-01 17:00:00
2020-01-01,18,14.04762,22.85,19.316,2020-01-01 18:00:00
2020-01-01,19,16.9604,19.675,15.778,2020-01-01 19:00:00
2020-01-01,20,16.24546,22.0,18.443,2020-01-01 20:00:00
2020-01-01,21,17.72576,24.2,20.165,2020-01-01 21:00:00
2020-01-01,22,15.78239,25.1,20.684,2020-01-01 22:00:00
2020-01-01,23,18.74667,24.45,20.118,2020-01-01 23:00:00
2020-01-01,00,20.89063,22.95,18.349,2020-01-01 00:00:00
2020-01-02,01,17.78022,16.175,11.934,2020-01-02 01:00:00
2020-01-02,02,11.58233,11.625,6.792,2020-01-02 02:00:00
2020-01-02,03,11.19119,12.275,6.745,2020-01-02 03:00:00
2020-01-02,04,10.16908,11.95,6.58,2020-01-02 04:00:00
2020-01-02,05,8.99542,13.85,7.429,2020-01-02 05:00:00
2020-01-02,06,9.30094,15.425,7.854,2020-01-02 06:00:00
2020-01-02,07,11.75575,16.5,7.948,2020-01-02 07:00:00
2020-01-02,08,14.46258,12.1,6.109,2020-01-02 08:00:00
2020-01-02,09,13.28698,8.375,4.08,2020-01-02 09:00:00
2020-01-02,10,11.44878,8.45,4.033,2020-01-02 10:00:00
2020-01-02,11,18.95944,13.375,5.731,2020-01-02 11:00:00
2020-01-02,12,16.61042,10.95,5.165,2020-01-02 12:00:00
2020-01-02,13,16.09767,6.5,3.325,2020-01-02 13:00:00
2020-01-02,14,18.55152,2.8,1.486,2020-01-02 14:00:00
2020-01-02,15,17.83638,2.5,1.533,2020-01-02 15:00:00
2020-01-02,16,12.46992,4.4,2.618,2020-01-02 16:00:00
2020-01-02,17,16.04538,4.375,2.736,2020-01-02 17:00:00
2020-01-02,18,15.12374,4.375,2.594,2020-01-02 18:00:00
2020-01-02,19,12.11138,4.925,3.16,2020-01-02 19:00:00
2020-01-02,20,9.24937,4.725,3.278,2020-01-02 20:00:00
2020-01-02,21,8.63518,4.475,3.255,2020-01-02 21:00:00
2020-01-02,22,9.09734,4.65,3.042,2020-01-02 22:00:00
2020-01-02,23,7.56247,2.575,1.321,2020-01-02 23:00:00
2020-01-02,00,7.56417,11.875,6.179,2020-01-02 00:00:00
2020-01-03,01,8.17851,19.7,9.34,2020-01-03 01:00:00
2020-01-03,02,9.96685,17.7,8.42,2020-01-03 02:00:00
2020-01-03,03,7.56215,18.275,8.491,2020-01-03 03:00:00
2020-01-03,04,9.04446,14.975,7.476,2020-01-03 04:00:00
2020-01-03,05,12.72522,14.425,7.241,2020-01-03 05:00:00
2020-01-03,06,11.24344,11.25,5.873,2020-01-03 06:00:00
2020-01-03,07,23.20035,12.55,6.156,2020-01-03 07:00:00
2020-01-03,08,31.84086,12.725,6.274,2020-01-03 08:00:00
2020-01-03,09,47.75353,12.925,6.439,2020-01-03 09:00:00
2020-01-03,10,56.47536,15.55,7.359,2020-01-03 10:00:00
2020-01-03,11,35.95606,11.175,5.802,2020-01-03 11:00:00
2020-01-03,12,33.95825,10.65,5.472,2020-01-03 12:00:00
2020-01-03,13,27.25964,8.925,4.693,2020-01-03 13:00:00
2020-01-03,14,21.83789,11.5,5.542,2020-01-03 14:00:00
2020-01-03,15,26.02853,12.825,6.25,2020-01-03 15:00:00
2020-01-03,16,27.76605,11.075,5.991,2020-01-03 16:00:00
2020-01-03,17,37.22409,11.1,6.109,2020-01-03 17:00:00
2020-01-03,18,26.12644,11.55,6.085,2020-01-03 18:00:00
2020-01-03,19,17.22912,16.075,7.972,2020-01-03 19:00:00
2020-01-03,20,14.00822,8.95,5.0,2020-01-03 20:00:00
2020-01-03,21,18.24782,11.425,5.755,2020-01-03 21:00:00
2020-01-03,22,14.82308,8.95,5.0,2020-01-03 22:00:00
2020-01-03,23,12.47188,10.425,5.377,2020-01-03 23:00:00
2020-01-03,00,12.62516,11.525,5.708,2020-01-03 00:00:00
2020-01-04,01,14.17757,17.45,8.208,2020-01-04 01:00:00
2020-01-04,02,7.10719,11.7,6.038,2020-01-04 02:00:00
2020-01-04,03,6.13552,10.775,5.212,2020-01-04 03:00:00
2020-01-04,04,6.69773,9.575,5.0,2020-01-04 04:00:00
2020-01-04,05,5.62383,8.8,4.505,2020-01-04 05:00:00
2020-01-04,06,8.335,8.475,4.292,2020-01-04 06:00:00
2020-01-04,07,9.0003,7.95,3.986,2020-01-04 07:00:00
2020-01-04,08,20.60486,8.55,4.363,2020-01-04 08:00:00
2020-01-04,09,25.10545,9.275,4.717,2020-01-04 09:00:00
2020-01-04,10,26.28567,9.775,4.646,2020-01-04 10:00:00
2020-01-04,11,27.31108,8.05,4.009,2020-01-04 11:00:00
2020-01-04,12,25.93288,4.625,2.712,2020-01-04 12:00:00
2020-01-04,13,26.44837,4.075,2.547,2020-01-04 13:00:00
2020-01-04,14,24.90482,6.8,3.986,2020-01-04 14:00:00
2020-01-04,15,23.67555,8.175,4.811,2020-01-04 15:00:00
2020-01-04,16,20.40189,7.325,4.057,2020-01-04 16:00:00
2020-01-04,17,20.8137,6.525,4.08,2020-01-04 17:00:00
2020-01-04,18,21.4276,7.325,4.552,2020-01-04 18:00:00
2020-01-04,19,19.73892,7.85,5.189,2020-01-04 19:00:00
2020-01-04,20,19.68723,7.025,4.811,2020-01-04 20:00:00
2020-01-04,21,14.97927,8.35,5.92,2020-01-04 21:00:00
2020-01-04,22,13.44949,8.5,5.991,2020-01-04 22:00:00
2020-01-04,23,12.78243,7.65,6.156,2020-01-04 23:00:00
2020-01-04,00,11.81574,7.2,5.778,2020-01-04 00:00:00
2020-01-05,01,9.34331,7.475,5.613,2020-01-05 01:00:00
2020-01-05,02,6.19078,7.825,6.156,2020-01-05 02:00:00
2020-01-05,03,5.88308,7.775,5.472,2020-01-05 03:00:00
2020-01-05,04,6.6493,6.025,4.575,2020-01-05 04:00:00
2020-01-05,05,5.11526,5.65,4.057,2020-01-05 05:00:00
2020-01-05,06,4.39889,5.0,3.561,2020-01-05 06:00:00
2020-01-05,07,5.47313,4.2,3.042,2020-01-05 07:00:00
2020-01-05,08,7.51968,2.025,1.274,2020-01-05 08:00:00
2020-01-05,09,7.56826,3.5,2.359,2020-01-05 09:00:00
2020-01-05,10,7.11388,4.225,2.665,2020-01-05 10:00:00
2020-01-05,11,7.82897,4.225,2.618,2020-01-05 11:00:00
2020-01-05,12,8.74952,4.8,2.901,2020-01-05 12:00:00
2020-01-05,13,9.57197,3.375,2.146,2020-01-05 13:00:00
2020-01-05,14,9.5167,3.4,2.193,2020-01-05 14:00:00
2020-01-05,15,13.25034,3.225,2.005,2020-01-05 15:00:00
2020-01-05,16,12.12338,3.075,2.146,2020-01-05 16:00:00
2020-01-05,17,12.84103,3.875,2.689,2020-01-05 17:00:00
2020-01-05,18,14.83423,4.425,3.396,2020-01-05 18:00:00
2020-01-05,19,13.80856,5.05,3.632,2020-01-05 19:00:00
2020-01-05,20,11.35844,7.025,4.67,2020-01-05 20:00:00
2020-01-05,21,9.67007,8.5,4.953,2020-01-05 21:00:00
2020-01-05,22,7.92931,8.25,4.292,2020-01-05 22:00:00
2020-01-05,23,9.7196,7.85,4.08,2020-01-05 23:00:00
2020-01-05,00,14.37443,5.5,3.514,2020-01-05 00:00:00
2020-01-06,01,11.11998,3.55,2.406,2020-01-06 01:00:00
2020-01-06,02,9.55358,4.3,2.17,2020-01-06 02:00:00
2020-01-06,03,7.36871,4.425,2.288,2020-01-06 03:00:00
2020-01-06,04,9.41389,4.1,1.958,2020-01-06 04:00:00
2020-01-06,05,8.54454,2.975,1.58,2020-01-06 05:00:00
2020-01-06,06,11.41034,3.175,1.675,2020-01-06 06:00:00
2020-01-06,07,16.32407,3.9,2.264,2020-01-06 07:00:00
2020-01-06,08,16.11745,5.35,2.759,2020-01-06 08:00:00
2020-01-06,09,18.52404,8.075,3.632,2020-01-06 09:00:00
2020-01-06,10,20.62965,8.925,5.0,2020-01-06 10:00:00
2020-01-06,11,22.06083,6.625,4.151,2020-01-06 11:00:00
2020-01-06,12,24.05762,2.9,1.722,2020-01-06 12:00:00
2020-01-06,13,24.26115,3.825,2.382,2020-01-06 13:00:00
2020-01-06,14,19.44935,5.075,3.066,2020-01-06 14:00:00
2020-01-06,15,27.84563,7.225,3.774,2020-01-06 15:00:00
2020-01-06,16,29.5857,14.675,6.981,2020-01-06 16:00:00
2020-01-06,17,26.3585,13.575,7.005,2020-01-06 17:00:00
2020-01-06,18,34.03782,16.1,7.948,2020-01-06 18:00:00
2020-01-06,19,24.10257,15.45,7.925,2020-01-06 19:00:00
2020-01-06,20,18.93143,18.775,9.175,2020-01-06 20:00:00
2020-01-06,21,20.05371,18.7,8.915,2020-01-06 21:00:00
2020-01-06,22,18.77492,16.25,8.16,2020-01-06 22:00:00
2020-01-06,23,16.42084,18.375,8.821,2020-01-06 23:00:00
2020-01-06,00,12.48183,19.825,9.552,2020-01-06 00:00:00
2020-01-07,01,13.64751,21.0,10.236,2020-01-07 01:00:00
2020-01-07,02,7.16797,20.525,10.024,2020-01-07 02:00:00
2020-01-07,03,14.68958,21.275,9.764,2020-01-07 03:00:00
2020-01-07,04,14.48645,17.5,8.302,2020-01-07 04:00:00
2020-01-07,05,13.66505,15.25,7.783,2020-01-07 05:00:00
2020-01-07,06,12.84883,12.4,6.745,2020-01-07 06:00:00
2020-01-07,07,18.78213,10.875,6.226,2020-01-07 07:00:00
2020-01-07,08,23.1334,10.2,6.392,2020-01-07 08:00:00
2020-01-07,09,22.56962,10.425,6.533,2020-01-07 09:00:00
2020-01-07,10,17.81134,6.35,4.033,2020-01-07 10:00:00
2020-01-07,11,17.35319,5.5,3.467,2020-01-07 11:00:00
2020-01-07,12,20.52907,6.225,3.491,2020-01-07 12:00:00
2020-01-07,13,19.61166,6.075,4.057,2020-01-07 13:00:00
2020-01-07,14,18.28058,7.05,4.481,2020-01-07 14:00:00
2020-01-07,15,17.66861,5.35,3.42,2020-01-07 15:00:00
2020-01-07,16,16.38647,4.8,2.736,2020-01-07 16:00:00
2020-01-07,17,15.87532,4.475,2.524,2020-01-07 17:00:00
2020-01-07,18,13.05677,4.45,2.712,2020-01-07 18:00:00
2020-01-07,19,13.92932,4.575,2.854,2020-01-07 19:00:00
2020-01-07,20,11.82653,20.4,11.675,2020-01-07 20:00:00
2020-01-07,21,7.83406,26.9,15.849,2020-01-07 21:00:00
2020-01-07,22,8.70735,25.4,15.33,2020-01-07 22:00:00
2020-01-07,23,7.22097,17.15,9.906,2020-01-07 23:00:00
2020-01-07,00,7.67913,15.375,7.901,2020-01-07 00:00:00
2020-01-08,01,6.4155,24.05,12.123,2020-01-08 01:00:00
2020-01-08,02,3.89076,18.575,10.024,2020-01-08 02:00:00
2020-01-08,03,3.89379,15.95,8.797,2020-01-08 03:00:00
2020-01-08,04,3.73831,13.525,7.571,2020-01-08 04:00:00
2020-01-08,05,5.01708,16.175,8.184,2020-01-08 05:00:00
2020-01-08,06,6.24507,13.775,6.627,2020-01-08 06:00:00
2020-01-08,07,14.74186,12.85,6.321,2020-01-08 07:00:00
2020-01-08,08,33.89392,13.25,6.486,2020-01-08 08:00:00
2020-01-08,09,38.66031,13.775,6.887,2020-01-08 09:00:00
2020-01-08,10,35.39,9.2,4.693,2020-01-08 10:00:00
2020-01-08,11,30.68388,8.05,4.104,2020-01-08 11:00:00
2020-01-08,12,26.13283,7.95,4.292,2020-01-08 12:00:00
2020-01-08,13,27.93274,9.125,4.717,2020-01-08 13:00:00
2020-01-08,14,28.28419,9.625,5.354,2020-01-08 14:00:00
2020-01-08,15,26.68854,11.175,5.849,2020-01-08 15:00:00
2020-01-08,16,31.39112,6.925,3.514,2020-01-08 16:00:00
2020-01-08,17,38.56035,7.7,3.703,2020-01-08 17:00:00
2020-01-08,18,44.50316,6.325,3.915,2020-01-08 18:00:00
2020-01-08,19,39.94342,5.475,3.514,2020-01-08 19:00:00
2020-01-08,20,42.63706,6.475,3.868,2020-01-08 20:00:00
2020-01-08,21,45.91132,9.675,5.377,2020-01-08 21:00:00
2020-01-08,22,46.88783,12.3,6.344,2020-01-08 22:00:00
2020-01-08,23,61.98372,10.85,5.991,2020-01-08 23:00:00
2020-01-08,00,30.86364,13.75,6.769,2020-01-08 00:00:00
2020-01-09,01,20.06897,11.575,6.109,2020-01-09 01:00:00
2020-01-09,02,16.07913,10.95,5.684,2020-01-09 02:00:00
2020-01-09,03,13.72103,13.175,6.085,2020-01-09 03:00:00
2020-01-09,04,11.62305,12.45,6.392,2020-01-09 04:00:00
2020-01-09,05,19.4004,12.625,7.571,2020-01-09 05:00:00
2020-01-09,06,24.47401,11.95,7.642,2020-01-09 06:00:00
2020-01-09,07,29.34669,11.875,7.335,2020-01-09 07:00:00
2020-01-09,08,41.21485,11.075,5.896,2020-01-09 08:00:00
2020-01-09,09,53.40019,10.175,4.175,2020-01-09 09:00:00
2020-01-09,10,42.58494,7.675,3.113,2020-01-09 10:00:00
2020-01-09,11,44.23198,7.725,2.594,2020-01-09 11:00:00
2020-01-09,12,20.96485,4.275,1.675,2020-01-09 12:00:00
2020-01-09,13,21.36882,4.325,1.958,2020-01-09 13:00:00
2020-01-09,14,22.27287,3.925,1.863,2020-01-09 14:00:00
2020-01-09,15,40.79783,4.475,2.453,2020-01-09 15:00:00
2020-01-09,16,80.66691,6.35,3.42,2020-01-09 16:00:00
2020-01-09,17,86.32925,9.1,5.66,2020-01-09 17:00:00
2020-01-09,18,75.30614,10.025,5.708,2020-01-09 18:00:00
2020-01-09,19,79.80893,12.35,8.703,2020-01-09 19:00:00
2020-01-09,20,90.74787,13.625,9.788,2020-01-09 20:00:00
2020-01-09,21,89.75872,14.975,11.038,2020-01-09 21:00:00
2020-01-09,22,88.89768,22.15,17.359,2020-01-09 22:00:00
2020-01-09,23,98.9718,18.325,14.175,2020-01-09 23:00:00
2020-01-09,00,91.74638,20.8,15.873,2020-01-09 00:00:00
2020-01-10,01,84.1325,23.7,18.255,2020-01-10 01:00:00
2020-01-10,02,77.94551,19.8,16.156,2020-01-10 02:00:00
2020-01-10,03,62.5472,15.375,13.16,2020-01-10 03:00:00
2020-01-10,04,52.68185,12.15,10.212,2020-01-10 04:00:00
2020-01-10,05,49.11212,11.125,9.363,2020-01-10 05:00:00
2020-01-10,06,50.90488,11.225,8.656,2020-01-10 06:00:00
2020-01-10,07,53.07019,14.175,9.741,2020-01-10 07:00:00
2020-01-10,08,57.15526,14.3,11.627,2020-01-10 08:00:00
2020-01-10,09,70.27797,17.75,14.175,2020-01-10 09:00:00
2020-01-10,10,98.01178,24.05,16.156,2020-01-10 10:00:00
2020-01-10,11,89.05944,24.275,16.745,2020-01-10 11:00:00
2020-01-10,12,82.67649,21.05,11.509,2020-01-10 12:00:00
2020-01-10,13,49.36097,16.55,7.311,2020-01-10 13:00:00
2020-01-10,14,36.42302,13.1,5.92,2020-01-10 14:00:00
2020-01-10,15,34.86881,11.025,5.0,2020-01-10 15:00:00
2020-01-10,16,29.11749,10.15,4.811,2020-01-10 16:00:00
2020-01-10,17,29.77802,9.925,4.906,2020-01-10 17:00:00
2020-01-10,18,29.11902,10.6,5.495,2020-01-10 18:00:00
2020-01-10,19,27.26817,9.1,5.448,2020-01-10 19:00:00
2020-01-10,20,18.29868,5.0,3.42,2020-01-10 20:00:00
2020-01-10,21,15.83775,3.2,2.264,2020-01-10 21:00:00
2020-01-10,22,14.66233,4.825,3.113,2020-01-10 22:00:00
2020-01-10,23,14.24951,6.075,3.774,2020-01-10 23:00:00
2020-01-10,00,11.17469,8.525,5.212,2020-01-10 00:00:00
2020-01-11,01,9.23363,10.125,5.991,2020-01-11 01:00:00
2020-01-11,02,8.82445,10.525,6.226,2020-01-11 02:00:00
2020-01-11,03,9.33696,7.725,5.0,2020-01-11 03:00:00
2020-01-11,04,8.67123,5.8,3.561,2020-01-11 04:00:00
2020-01-11,05,7.23554,4.75,3.137,2020-01-11 05:00:00
2020-01-11,06,5.64504,4.125,2.642,2020-01-11 06:00:00
