Date,Time,NO2 (µg/m3),Datetime
2020-01-01,01,,2020-01-01 01:00:00
2020-01-01,02,76.68232,2020-01-01 02:00:00
2020-01-01,03,75.12714,2020-01-01 03:00:00
2020-01-01,04,89.75443,2020-01-01 04:00:00
2020-01-01,05,96.04185,2020-01-01 05:00:00
2020-01-01,06,86.95813,2020-01-01 06:00:00
2020-01-01,07,72.61488,2020-01-01 07:00:00
2020-01-01,08,61.28035,2020-01-01 08:00:00
2020-01-01,09,28.06574,2020-01-01 09:00:00
2020-01-01,10,26.39759,2020-01-01 10:00:00
2020-01-01,11,18.1193,2020-01-01 11:00:00
2020-01-01,12,14.67061,2020-01-01 12:00:00
2020-01-01,13,16.25239,2020-01-01 13:00:00
2020-01-01,14,19.80511,2020-01-01 14:00:00
2020-01-01,15,23.69301,2020-01-01 15:00:00
2020-01-01,16,24.19225,2020-01-01 16:00:00
2020-01-01,17,23.31483,2020-01-01 17:00:00
2020-01-01,18,19.63663,2020-01-01 18:00:00
2020-01-01,19,18.85364,2020-01-01 19:00:00
2020-01-01,20,19.834,2020-01-01 20:00:00
2020-01-01,21,24.46437,2020-01-01 21:00:00
2020-01-01,22,22.7231,2020-01-01 22:00:00
2020-01-01,23,42.61388,2020-01-01 23:00:00
2020-01-01,00,33.84882,2020-01-01 00:00:00
2020-01-02,01,32.46857,2020-01-02 01:00:00
2020-01-02,02,9.72032,2020-01-02 02:00:00
2020-01-02,03,6.55171,2020-01-02 03:00:00
2020-01-02,04,6.84768,2020-01-02 04:00:00
2020-01-02,05,7.13829,2020-01-02 05:00:00
2020-01-02,06,6.10207,2020-01-02 06:00:00
2020-01-02,07,16.86951,2020-01-02 07:00:00
2020-01-02,08,17.69777,2020-01-02 08:00:00
2020-01-02,09,23.25662,2020-01-02 09:00:00
2020-01-02,10,20.0263,2020-01-02 10:00:00
2020-01-02,11,39.319,2020-01-02 11:00:00
2020-01-02,12,21.80406,2020-01-02 12:00:00
2020-01-02,13,30.99356,2020-01-02 13:00:00
2020-01-02,14,35.5937,2020-01-02 14:00:00
2020-01-02,15,30.08592,2020-01-02 15:00:00
2020-01-02,16,23.95142,2020-01-02 16:00:00
2020-01-02,17,32.74896,2020-01-02 17:00:00
2020-01-02,18,41.64341,2020-01-02 18:00:00
2020-01-02,19,25.19432,2020-01-02 19:00:00
2020-01-02,20,16.17006,2020-01-02 20:00:00
2020-01-02,21,18.88508,2020-01-02 21:00:00
2020-01-02,22,20.99488,2020-01-02 22:00:00
2020-01-02,23,39.90387,2020-01-02 23:00:00
2020-01-02,00,40.01739,2020-01-02 00:00:00
2020-01-03,01,22.3381,2020-01-03 01:00:00
2020-01-03,02,15.98266,2020-01-03 02:00:00
2020-01-03,03,14.85407,2020-01-03 03:00:00
2020-01-03,04,14.55894,2020-01-03 04:00:00
