Date,Time,NO2 (µg/m3),Datetime
2020-01-01,01,73.83815,2020-01-01 01:00:00
2020-01-01,02,77.05648,2020-01-01 02:00:00
2020-01-01,03,66.48559,2020-01-01 03:00:00
2020-01-01,04,52.74237,2020-01-01 04:00:00
2020-01-01,05,49.66139,2020-01-01 05:00:00
2020-01-01,06,48.13599,2020-01-01 06:00:00
2020-01-01,07,46.57407,2020-01-01 07:00:00
2020-01-01,08,52.21151,2020-01-01 08:00:00
2020-01-01,09,27.50883,2020-01-01 09:00:00
2020-01-01,10,13.44579,2020-01-01 10:00:00
2020-01-01,11,8.66817,2020-01-01 11:00:00
2020-01-01,12,8.03761,2020-01-01 12:00:00
2020-01-01,13,9.53738,2020-01-01 13:00:00
2020-01-01,14,10.73019,2020-01-01 14:00:00
2020-01-01,15,12.49465,2020-01-01 15:00:00
2020-01-01,16,16.33293,2020-01-01 16:00:00
2020-01-01,17,17.16167,2020-01-01 17:00:00
2020-01-01,18,11.62544,2020-01-01 18:00:00
2020-01-01,19,11.82665,2020-01-01 19:00:00
2020-01-01,20,12.39465,2020-01-01 20:00:00
2020-01-01,21,14.73679,2020-01-01 21:00:00
2020-01-01,22,20.73951,2020-01-01 22:00:00
2020-01-01,23,36.34056,2020-01-01 23:00:00
2020-01-01,00,29.94632,2020-01-01 00:00:00
2020-01-02,01,13.64904,2020-01-02 01:00:00
2020-01-02,02,3.94632,2020-01-02 02:00:00
2020-01-02,03,3.63225,2020-01-02 03:00:00
2020-01-02,04,2.28579,2020-01-02 04:00:00
2020-01-02,05,1.86856,2020-01-02 05:00:00
2020-01-02,06,3.32019,2020-01-02 06:00:00
2020-01-02,07,3.94516,2020-01-02 07:00:00
2020-01-02,08,6.64443,2020-01-02 08:00:00
2020-01-02,09,6.74642,2020-01-02 09:00:00
2020-01-02,10,6.80132,2020-01-02 10:00:00
2020-01-02,11,11.05767,2020-01-02 11:00:00
2020-01-02,12,11.57718,2020-01-02 12:00:00
2020-01-02,13,11.8352,2020-01-02 13:00:00
2020-01-02,14,12.55525,2020-01-02 14:00:00
2020-01-02,15,12.30501,2020-01-02 15:00:00
2020-01-02,16,10.27725,2020-01-02 16:00:00
2020-01-02,17,11.4125,2020-01-02 17:00:00
